id	path	line	end	name	signature	kind	va	body_sha256	status	casts	unions	gotos	address	owner	outside	varargs	reuse	stack	bounds	note
src/SOURCE/ADVMGR.cpp:advManager::UpdBottomView(b32 forceUpdate,b32 drawWindow,b32 updateScreen)#1	src/SOURCE/ADVMGR.cpp	5242	5293	advManager::UpdBottomView	(b32 forceUpdate,b32 drawWindow,b32 updateScreen)	cpp	0x0040aaee	fe09e1726952f15ee86e2d2ab41f8ff6f89efd0fd69beccb0e531ae99e19b9c1	reviewed	absent	absent	open	absent	absent	absent	absent	absent	open	retain	G33 update_bottom_view join selects actual update/draw phases. S30 final forceUpdate=gbForceUpdate parameter store is unread. Actual updated result, timers and display modes are independent scalars. Bottom-view framebuffer rectangle480,392,143,71 fits640x480; no local buffer or manual varargs.
src/SOURCE/ADVMGR.cpp:advManager::ClearBottomView(void)#1	src/SOURCE/ADVMGR.cpp	5296	5318	advManager::ClearBottomView	(void)	cpp	0x0040ac4c	6d99b6b97639d32398ec84ea5d57c1dfe346e640d29aa41536fbce8f997a2664	reviewed	absent	applied	absent	absent	absent	absent	absent	absent	absent	retain	U08 real primary/secondary widget* arrays each have12 slots, null-checked deletion and clearing. All consumer operations use the widget base; unused integer/derived/padding union views removed with whole98-TU native equivalence. This294-byte body also has complete independent retail bytes and ordered target/site proof. No fabricated aggregate or cross-member traversal.
src/SOURCE/ADVMGR.cpp:advManager::UpdBottomViewEnemyTurn(void)#1	src/SOURCE/ADVMGR.cpp	5321	5477	advManager::UpdBottomViewEnemyTurn	(void)	cpp	0x0040ad72	f5e391a15665b4da40f9f9b3779e95bf9624dc46cb812e51f824233a79a83a1e	reviewed	open	applied	absent	absent	absent	absent	absent	absent	retain	open	U08 true widget owners; U01 real widget message. C23 char(giCurPlayer) truncations before player lookup/GetPlayerColor need measured source alternatives. Valid players0..5 make truncation unnecessary semantically, but native proof still required. Hourglass20-frame phase/resource domains remain B43. Assignment iCurBottomViewEnemy=giCurPlayer precedes its inequality test; retained behavior, not an unproven cleanup.
src/SOURCE/ADVMGR.cpp:advManager::UpdBottomViewNewTurn(void)#1	src/SOURCE/ADVMGR.cpp	5480	5584	advManager::UpdBottomViewNewTurn	(void)	cpp	0x0040b2ad	3a87d71fc25246165d3e67dbc981eb4c60ebab78accbffc2c2328657368a4540	pending	pending	pending	pending	pending	pending	pending	pending	pending	pending	pending	STALE: U08 actual widget arrays. S30 month unread; allocation-to-char casts are real void* boundaries. Week/day char[30] owners fit actualu16 dates: month/week worst28 bytes includingNUL, day12. B46 both use secondary slot0/id2100, losing week tracked pointer; parent list retains it after ClearBottomView and releases it on normal window Close. AddWidget/Close/RemoveWindow independently exact; no permanent unreachable-allocation claim or speculative leak fix.
src/SOURCE/ADVMGR.cpp:advManager::UpdBottomViewResMsg(void)#1	src/SOURCE/ADVMGR.cpp	5587	5694	advManager::UpdBottomViewResMsg	(void)	cpp	0x0040b634	b4afc1d16d9996dc67fd861ebe3135399742623d965810366c1c1e2366efeab3	reviewed	retain	applied	absent	absent	absent	absent	absent	absent	retain	open	U08 widget owners and real widget message retained. B45 messageText is allocated strlen(gcBottomViewText)+1 but receives sprintf(messageText,gcBottomViewText); format contract and92-byte input owner need all callers. Quantity allocation8 needs actual resource-domain bound, not arbitrary i32 assumption. Allocation-to-char cast is real void* API boundary; no manual argument-slot access.
src/SOURCE/ADVMGR.cpp:advManager::UpdBottomViewKingdom(void)#1	src/SOURCE/ADVMGR.cpp	5697	5816	advManager::UpdBottomViewKingdom	(void)	cpp	0x0040b9b8	ff4671683a523e92db1f0fff64f6325056e41ea3e28195d8b5b1f0d8162ac560	pending	pending	pending	pending	pending	pending	pending	pending	pending	pending	pending	STALE: U08 widget arrays; real rowY/textX/countText arrays each9 entries for7 resources and2 town totals. Eight-byte decimal allocations fit town totals<=72, but i32 resource balances need B45 gameplay caps. Real allocator void* conversions and i16 widget coordinates retained; no stack padding overlay or fabricated owner recovery.
src/SOURCE/ADVMGR.cpp:advManager::UpdBottomViewHero(void)#1	src/SOURCE/ADVMGR.cpp	5819	5971	advManager::UpdBottomViewHero	(void)	cpp	0x0040bd33	b8b3b9d712a0229e9ec1d7db6b9546578006546f1b821839420eb1e41054499e	reviewed	open	applied	absent	absent	absent	absent	absent	absent	open	open	U08 widget arrays; S30 leftEdge/rightEdge unread. Real iconPositions16-byte xy table and5x5 slotLayouts: usedCount1..5 and index<usedCount prove layout entries0..7. C24 byte-address-toIconEntry duplicates GetIconEntry helper; natural accessor candidate needs native matrix. Six-byte count labels fit ordinary nonnegative i16 values (>=2000 uses k), but negative i16 minimum needs7 bytes: B45 invalid-count contract.
src/SOURCE/ADVMGR.cpp:advManager::HeroQuickView(i32 heroId,i32 locatorSlot,i32 windowX,i32 windowY)#1	src/SOURCE/ADVMGR.cpp	5974	6317	advManager::HeroQuickView	(i32 heroId,i32 locatorSlot,i32 windowX,i32 windowY)	cpp	0x0040c322	28e4a7006683746a8ab07e4b4f65687d07f49d1dba3f38488c2113152ce18530	pending	pending	pending	pending	pending	pending	pending	pending	pending	pending	pending	STALE: Real five-slot labels/icon/text arrays, widget message and saved map origins; counted nonempty slots bound scan indices across both1..5 layout families. S30 unread i16 layout/id scalars. B45 exact count label allocates5 bytes: signed i16 positive32767 needs6 including NUL. Scoped retail allocation/load/format/call proof passes; whole3579 instruction bytes match but EH aliases remain unresolved. Vague15-byte labels fit genuine title names(max7) and debug i32 text(max11); owner/hero/icon domains remain B43.
src/SOURCE/ADVMGR.cpp:advManager::GetArmySizeName(i32 armySize,ArmySizeNameVariant grammar)#1	src/SOURCE/ADVMGR.cpp	6320	6356	advManager::GetArmySizeName	(i32 armySize,ArmySizeNameVariant grammar)	cpp	0x0040d11d	41987573e4b115195938d4440acb706fe0b001ad6828b3c26a3f056ee9634349	reviewed	absent	absent	absent	absent	absent	absent	absent	absent	absent	open	Actual12-byte cArmySizeName global fits every decimal i32 including-2147483648 and NUL. Nine army thresholds select valid table rows, including negative input in first row; grammar must be0..2. Genuine27 pointer destinations contain max9-byte text, title column max7 (check-advm-bounds.py). No casts, fake stack aggregate, manual varargs or owner arithmetic.
src/SOURCE/ADVMGR.cpp:advManager::TownQuickView(i32 townId,i32 locatorSlot,i32 windowX,i32 windowY)#1	src/SOURCE/ADVMGR.cpp	6359	6724	advManager::TownQuickView	(i32 townId,i32 locatorSlot,i32 windowX,i32 windowY)	cpp	0x0040d1f9	f4b4f144da6e1fe0dc7a422ee83db5ca48f568acadcaccc13bc0ad44d24625e9	pending	pending	pending	pending	pending	pending	pending	pending	pending	pending	pending	STALE: Real five-slot widget/label arrays and saved map origins; counted stacks prove scan indices and nonzero row divisors. S30 unread layout/id scalars and armySlot. Exact i16 counts need at most7 bytes and fit15-byte labels; title names(max7), debug i32(max11), ??? also fit15. Unknown text fits20. B45 sprintf(gText,GetTownName(id)) uses a town name as format. B43 town/owner/icon domains remain; neutral owner guarded. U12/U13 follow-up supersedes earlier alias status: single signed town-owner table and unsigned daily-construction bitset, complete named-consumer reconciliation and preserved packed layout. All98 native objects and this function ordinary retail bytes/size pass; exact ordered-target result and existing checker gaps are in U12-functions.tsv. No bounds, protocol or lifecycle hardening. See U12-U13.md.
src/SOURCE/ADVMGR.cpp:advManager::RedrawAdvScreen(i32 update,i32 freeBorder)#1	src/SOURCE/ADVMGR.cpp	6727	6754	advManager::RedrawAdvScreen	(i32 update,i32 freeBorder)	cpp	0x0040deca	40b76386e268b167f3c2a8d3e260e6e6c9023c72a2f1b87ec776fb11b0c8db16	reviewed	absent	absent	absent	absent	absent	absent	absent	absent	absent	open	Actual backdrop/border lifetime and full-screen redraw with constant640x480 region. Optional border free followed by SaveAdventureBorder requires real saved-buffer lifecycle; no pointer casts, manual varargs, fake aggregate or artificial address calculation. Related B43 resource/window readiness remains.
src/SOURCE/ADVMGR.cpp:advManager::DeactivateCurrTown(void)#1	src/SOURCE/ADVMGR.cpp	6757	6759	advManager::DeactivateCurrTown	(void)	cpp	0x0040dfca	8b9c8e18b594184c738a2fab8ab843b88e113f62af00aab46e81bb2a3d3535d8	reviewed	absent	absent	absent	absent	absent	absent	absent	absent	absent	absent	Sets actual current-town selection to-1; no buffer, cast, control-flow join or other checklist pattern.
src/SOURCE/ADVMGR.cpp:advManager::DeactivateCurrHero(void)#1	src/SOURCE/ADVMGR.cpp	6762	6765	advManager::DeactivateCurrHero	(void)	cpp	0x0040dfde	1821bdba1eac21f0c9b35a828f53ee53c20c291108666b71bc44c35bb3926bab	reviewed	absent	absent	absent	absent	absent	absent	absent	absent	absent	absent	Demobilizes then clears actual current-hero selection to-1. No local owner, arithmetic, cast, union access, varargs or bounds-bearing operation.
src/SOURCE/ADVMGR.cpp:advManager::MobilizeCurrHero(i32 update)#1	src/SOURCE/ADVMGR.cpp	6768	6776	advManager::MobilizeCurrHero	(i32 update)	cpp	0x0040dffa	ff5d1f7a5e783f8de0cf8ed222248b9735ba665ab6763fd39230220a041795b4	reviewed	absent	absent	absent	absent	absent	absent	absent	absent	absent	open	Invalid-hero and already-locked guards precede SetHeroContext. Current hero still needs initialized valid ID (B43); no local buffers, casts, artificial owner or unrelated parameter reuse.
src/SOURCE/ADVMGR.cpp:advManager::DemobilizeCurrHero(void)#1	src/SOURCE/ADVMGR.cpp	6779	6804	advManager::DemobilizeCurrHero	(void)	cpp	0x0040e03c	fa1df520a8c821cc255355eff5ee908bf9b8aba3fadf339c0f8ad46161902c3f	reviewed	retain	absent	absent	absent	absent	absent	absent	absent	absent	open	Actual hero/cell metadata restoration after invalid-ID and lock guards. Flag-domain cast carries embarked bit; GetCell wrapper clamps coordinates, not raw out-of-object arithmetic. B43 hero ID/occupied metadata context remains; no fake aggregate or manual varargs.
src/SOURCE/ADVMGR.cpp:advManager::SetTownContext(i32 townId)#1	src/SOURCE/ADVMGR.cpp	6807	6844	advManager::SetTownContext	(i32 townId)	cpp	0x0040e186	736b70a953f9d17cce26d9420c29e56d58e82b3d6340ac84604682539262cdaa	pending	pending	pending	pending	pending	pending	pending	pending	pending	pending	pending	STALE: R05 townNo first identifies locator position then becomes terrain ID. i8 casts store actual narrow player town/page fields; no artificial address. B43 requested town must belong to valid player/count/IDs and terrain index must be valid; no sentinel guard before GetTown. Scroll-page adjustment is bounded only under that contract.
src/SOURCE/ADVMGR.cpp:advManager::SetHeroContext(i32 heroId,i32 update)#1	src/SOURCE/ADVMGR.cpp	6847	6918	advManager::SetHeroContext	(i32 heroId,i32 update)	cpp	0x0040e374	a9c92407fe3077e5bdffeef25822e27e959928b1ea19babe7cc3ba730ded54c1	pending	pending	pending	pending	pending	pending	pending	pending	pending	pending	pending	STALE: R05 heroSlot first identifies locator position then carries terrain. Narrow currentHero/page stores and faction-to-HeroCursorType conversion correspond to real field domains. Sentinel checked but hero membership/count, path destination, terrain and player state remain B43. GetCell clamps coordinates; RestoreCell has its separate caller contract. No local aggregate or manual varargs.
src/SOURCE/ADVMGR.cpp:advManager::DoHeroKnob(void)#1	src/SOURCE/ADVMGR.cpp	6921	6966	advManager::DoHeroKnob	(void)	cpp	0x0040e6be	77694dee771124d609361f28663c5d868bc774f993158c97a41a22f9bd0bb3d8	reviewed	retain	retain	absent	absent	absent	absent	absent	absent	retain	open	Real mouse/widget event union and output x/y locals; MouseCoords requires both references even though onlyy used. Floating scale is computed before count>4 check, so enabled-control caller contract must exclude count4 division. Mouse y clamps195..268; normal count/page yields valid narrow page. Post-store pageIndex clamp does not clamp stored field. B43 count/lifecycle and numeric-domain evidence needed.
src/SOURCE/ADVMGR.cpp:advManager::DoTownKnob(void)#1	src/SOURCE/ADVMGR.cpp	6969	7014	advManager::DoTownKnob	(void)	cpp	0x0040e8a5	9eee79312e9003efe31afbd22d03201ac50bf92cc1ac38f26e9ff6ff6c1943db	reviewed	retain	retain	absent	absent	absent	absent	absent	absent	retain	open	Real event transition and MouseCoords output pair, not fake stack aggregate. Scale divides by townCount-4 before later count guard; caller/enabled-knob contract remains B43. Normal clamped mouse coordinate195..268 bounds page conversion; later local pageIndex adjustment occurs after narrow field store. No goto or unrelated variable roles.
src/SOURCE/ADVMGR.cpp:advManager::CastSpell(SpellType spell)#1	src/SOURCE/ADVMGR.cpp	7017	7118	advManager::CastSpell	(SpellType spell)	cpp	0x0040ea8c	10ef9d80a73592fda4943bae6f2d4b065aa4a2ed9c487310a166afda57303e03	pending	pending	pending	pending	pending	pending	pending	pending	pending	pending	pending	STALE: G34 setMineGuardian shared switch body; S30 guardianCount unread. Actual mineGuard and power locals; power cap limits positive guardian product beforeu8 wire/storage conversion. B43 null hero when no current selection is dereferenced by guardian/travel arms and final UseSpell; spell cancellation/domain, mine index and negative power need caller contracts. Dialog literals carry no local format buffer.
src/SOURCE/ADVMGR.cpp:SaveGame(void)#1	src/SOURCE/ADVMGR.cpp	7121	7180	SaveGame	(void)	cpp	0x0040edaf	7b4d4f06adc47695a608ccc1a16fe9869902163839a8a3a38c81c48c44e53cd0	pending	pending	pending	pending	pending	pending	pending	pending	pending	pending	pending	STALE: Real suffix8 and pattern16 arrays; player scan0..5 bounds nPlayers0..6, so .GMn/.GXn strings need5 bytes and wildcard forms6; campaigns fit too. S30 ok=1 before overwritten SaveGame result is unread store. Real requester lifecycle and result scalar, no casts/unions/gotos/manual varargs or fake combined stack record.
src/SOURCE/ADVMGR.cpp:advManager::CheckCastSpell(void)#1	src/SOURCE/ADVMGR.cpp	7183	7200	advManager::CheckCastSpell	(void)	cpp	0x0040effa	c8e771c010c1e8e74ba2420b1774f6356a90fed4a6eae1378aae272ece565043	reviewed	absent	absent	absent	absent	absent	absent	absent	absent	absent	open	Current-hero sentinel guard then mobilize/draw/ViewSpells/CastSpell. Actual spell result crosses typed APIs; no local stack owner, cast or manual varargs. B43 valid current ID and ViewSpells cancellation result need downstream spell contract.
src/SOURCE/ADVMGR.cpp:DimensionDoorHandler(tag_message & message)#1	src/SOURCE/ADVMGR.cpp	7203	7289	DimensionDoorHandler	(tag_message & message)	cpp	0x0040f085	34cbf8eaa3d5b7d2b29a8fb2cd70f6750d11b5e682fcf82cf9aa11d7b31c5466	reviewed	absent	retain	absent	absent	absent	absent	absent	absent	absent	open	Actual input/widget transition, but mouse screen fields are read before dispatch even for other message tags (U01 shared protocol contract). Mouse viewport clamps cells0..14; world coordinates may remain off-map and GetCell substitutes0,0. B43 teleport acceptance must establish actual destination bounds, not just substituted cell terrain. No goto/manual varargs/fake local aggregate.
src/SOURCE/ADVMGR.cpp:advManager::ComboDraw(i32 originX,i32 originY,i32 animate)#1	src/SOURCE/ADVMGR.cpp	7292	7676	advManager::ComboDraw	(i32 originX,i32 originY,i32 animate)	cpp	0x0040f30a	c8dc08b71644dd874b861b234211624423295568c0e08e0ee16b781e80370c66	reviewed	absent	absent	absent	absent	absent	open	absent	absent	open	open	B47 genuine4788-byte body and complete ordered targets/sites exact: actual18x18 grid stride18 but memset only256/324 bytes; monster drawX0 writes[-1][y], hero/boat drawX1 and y>=1 writes[-1][y-1]. Positive x+2/y+1 neighbors fit18 for viewport0..14; do not invent border padding. All GetCloudLookup calls now verified behind valid world-coordinate guards. S30 updateCount unread; normal flag arrays and scalar draw coordinates, no goto/manual varargs.
src/SOURCE/ADVMGR.cpp:advManager::ComboDraw(i32 update)#1	src/SOURCE/ADVMGR.cpp	7679	7681	advManager::ComboDraw	(i32 update)	cpp	0x004105be	a715af72aed629adbeefd809172b92fee6a552438b21b6e0c4c4c3cee12c477f	reviewed	absent	absent	absent	absent	absent	absent	absent	absent	absent	open	Forwards stored origin and animate/update argument to main ComboDraw without additional validation; inherits B47 grid hazards. No new cast, buffer, owner reconstruction, variable reuse or varargs.
src/SOURCE/ADVMGR.cpp:advManager::SetEnvironmentOrigin(i32 originX,i32 originY,i32 stopSounds)#1	src/SOURCE/ADVMGR.cpp	7684	7766	advManager::SetEnvironmentOrigin	(i32 originX,i32 originY,i32 stopSounds)	cpp	0x004105eb	d4ceb150f56c867f1582fc89e9d445ea1c0239f69a208d4c0fd2051f0f05fe2b	reviewed	absent	absent	absent	absent	absent	absent	absent	absent	open	open	S30 maxCells unread. Real four active sound records and28 sample pointers; ring enumeration distances0..3 and layers feed InsertSound, which checks world bounds. Active sound IDs must be initialized valid/sentinel before sample indexing and BIT; B43 saved state/backend/resource lifecycle remains. No local aggregate/union or artificial owner.
src/SOURCE/ADVMGR.cpp:advManager::CheckLoadSample(i32 index)#1	src/SOURCE/ADVMGR.cpp	7769	7779	advManager::CheckLoadSample	(i32 index)	cpp	0x004108a1	0008acb7677373f9e8f602ce1af4a3a4be9a14ee11bca92da5a481037e4afb86	reviewed	absent	absent	absent	absent	absent	absent	absent	absent	absent	open	Formats loop%04d.82M into gText768; even arbitrary i32 decimal fits20 bytes. index nevertheless directly indexes28 sample pointers before validation, so B43 sound-ID input contract remains. Trim then resource acquisition is actual lifecycle; no fake aggregate or casts.
src/SOURCE/ADVMGR.cpp:advManager::GetSoundId(i32 x,i32 y)#1	src/SOURCE/ADVMGR.cpp	7782	7901	advManager::GetSoundId	(i32 x,i32 y)	cpp	0x004108fb	df90beedf85342c127c996f64a81a1c9a9c1f43332eea5bfee921f031c9b254d	pending	pending	pending	pending	pending	pending	pending	pending	pending	pending	pending	STALE: S30 initialized soundId unread. Direct fullMap GetCell is safe for the only found caller InsertSound, which guards x/y. Object/action branches return explicit environment IDs orNONE; no goto or union. B43 terrainImageIndex still indexes ground/shape tables without local validation. No out-of-object pointer for validated caller coordinates.
src/SOURCE/ADVMGR.cpp:advManager::InsertSound(i32 x,i32 mapY,i32 distance,i32 soundLayer)#1	src/SOURCE/ADVMGR.cpp	7904	7955	advManager::InsertSound	(i32 x,i32 mapY,i32 distance,i32 soundLayer)	cpp	0x00410d39	26cbb538c9bfd7882b863deab80f8b54f667be7180fc740cee938106bdf03b3d	reviewed	absent	absent	absent	absent	absent	absent	absent	absent	absent	open	World-coordinate guard precedes only GetSoundId call; explicit enum results0..27/NONE bound sound lookup and bit shifts, and four-slot search only uses candidate after!=-1. Public distance/layer inputs and restored active IDs/backend sample lifetime remain B43 contracts; ordinary caller uses distance0..3. No casts/gotos/fake local record or manual varargs.
src/SOURCE/ADVMGR.cpp:advManager::TeleportTo(hero * mapHero,i32 destinationX,i32 destinationY,i32,i32 skipMapChange)#1	src/SOURCE/ADVMGR.cpp	7958	8094	advManager::TeleportTo	(hero * mapHero,i32 destinationX,i32 destinationY,i32,i32 skipMapChange)	cpp	0x00410f50	056e54650331eb6d467a78f9553e711a022671f35d47269e54c6b447c8fab251	pending	pending	pending	pending	pending	pending	pending	pending	pending	pending	pending	STALE: S30 unused/fizzleTime36 require native frame cleanup; savedShow is real state controlling HideRoute. u8 network coordinates are actual serialized fields. GetCell clamps both cell pointers but raw destination still writes hero coordinates and feeds map-change/visibility helpers; B43 caller world bounds, current/watch-player, scouting/terrain and occupied-town IDs remain. Real state-restoration scalars, no fake stack aggregate/goto.
src/SOURCE/ADVMGR.cpp:advManager::DimensionDoor(void)#1	src/SOURCE/ADVMGR.cpp	8097	8136	advManager::DimensionDoor	(void)	cpp	0x00411313	68075af0d23576b966380e45b5e4848b2b11fe68d1f1078baeef21728cc74ff3	pending	pending	pending	pending	pending	pending	pending	pending	pending	pending	pending	STALE: Actual dialog window and selected destination; no casts/gotos/local byte owner or varargs. GetCell clamps off-map targets for terrain test, but newX/newY are then passed unchanged to TeleportTo: B43 accepted hover must establish world bounds/current hero. Uses spell only after accepted dialog; resource/window lifecycle remains.
src/SOURCE/ADVMGR.cpp:TownPortalHandler(tag_message & message)#1	src/SOURCE/ADVMGR.cpp	8139	8171	TownPortalHandler	(tag_message & message)	cpp	0x00411515	597bff3d482f3d90e5f6142062bcd88b30ebeda7ce87cdd38840cf0b45c43433	pending	pending	pending	pending	pending	pending	pending	pending	pending	pending	pending	STALE: Actual choiceMessage output query: widget type/command/id initialized, BroadcastMessage fills value, then callback publishes selection and converts incoming command to dialog select. No fake stack owner. B43 listbox output/current terrain/window lifecycle contract remains; unread data fields are not evidence of a safe selection index.
src/SOURCE/ADVMGR.cpp:advManager::TownGate(SpellType spellId)#1	src/SOURCE/ADVMGR.cpp	8174	8271	advManager::TownGate	(SpellType spellId)	cpp	0x004115f5	96537cf7383c6955d88c56bd8aa2195af9fd20d34c7afa3c1c9098af15de95b2	pending	pending	pending	pending	pending	pending	pending	pending	pending	pending	pending	STALE: Actual town-selection widget message and nearest-distance scalars. townCount0 guarded; valid world coordinates<=143 bound Manhattan distance286 below initial1000, proving a nearest choice for positive valid count. Portal callback selected index still needs listbox contract; hero/player/town IDs remain B43. B45 sprintf(gText,town.m_name) treats scenario town text as format; fixed title fits500.
src/SOURCE/ADVMGR.cpp:advManager::SummonBoat(void)#1	src/SOURCE/ADVMGR.cpp	8274	8428	advManager::SummonBoat	(void)	cpp	0x004119fd	9f2d13974a160ca37e1d3ad97caa4fa4d873b841b15667f597866789e24287ef	pending	pending	pending	pending	pending	pending	pending	pending	pending	pending	pending	STALE: G35 summon_done tail; S30 fromCell assigned but unread. Direction loop0..7 guards placement world coordinates before access;48 boat entries scanned and slot used only afterfound. Actual i8 boat-coordinate/u8 metadata serialization casts remain; i8 coordinates on maps>127 need existing boat-coordinate-domain interpretation. Clipped fizzle rectangle stays16..464, target154,152,150,136 fits viewport. B43 hero/terrain/boat-record lifecycle remains.
src/SOURCE/ADVMGR.cpp:advManager::ShowRoute(i32 redraw,i32,i32 updateButton)#1	src/SOURCE/ADVMGR.cpp	8431	8570	advManager::ShowRoute	(i32 redraw,i32,i32 updateButton)	cpp	0x00411f49	30ce046094c05546912b9039e0a320f67acb4db183fa2cf0fb168e8b6e07c36d	pending	pending	pending	pending	pending	pending	pending	pending	pending	pending	pending	STALE: Actual search path union and flat u16 visibility array; sizeof clear covers allocated map dimensions. B18 pathLength, directions[index+1]/directions[index],0..7 arrow/direction tables and path world positions need search contract; GetCell clamp does not validate subsequent visibility write index. Terrain/pathfinding domains remain B43. u16 frame storage cast is real narrow map representation; no unrelated reuse or fake stack array. U02-U04 applied: separate256-byte direction owner and single unsigned queue/target fields, preserving all access addresses/reset order. Full98-object native, VC6 layout and both-dialect proof in U02-U04-S08-G11.md; per-body retail result U02-functions.tsv. Existing grid-pointer/node tagged views and runtime bounds remain.
src/SOURCE/ADVMGR.cpp:advManager::HideRoute(i32 redraw,i32 clearDestination,i32 updateButton)#1	src/SOURCE/ADVMGR.cpp	8573	8604	advManager::HideRoute	(i32 redraw,i32 clearDestination,i32 updateButton)	cpp	0x00412397	e07d6c470cb7160b452eab6ce86c2cb6b5f6a1828625c82009da6cac98e1327e	reviewed	absent	absent	absent	absent	absent	absent	absent	absent	absent	open	Actual optional destination clear and visibility-valid flag with guarded redraw. Current hero sentinel checked before direct hero record, but player/hero index lifecycle remains B43. No union access, pointer reconstruction, local buffer, goto or manual varargs.
src/SOURCE/ADVMGR.cpp:advManager::CheckDimHero(void)#1	src/SOURCE/ADVMGR.cpp	8607	8616	advManager::CheckDimHero	(void)	cpp	0x0041246b	840510d8775d3c432364414bf4ec8df1886de8a89a04dcf49d1a530d768bfaa4	reviewed	absent	absent	absent	absent	absent	absent	absent	absent	absent	open	Human-control/current-hero guards precede mobility check and route/locator updates. Actual helper forwarding, no casts/gotos/stack owner; B43 current player/hero domain inherited.
src/SOURCE/ADVMGR.cpp:advManager::CheckDimNextHeroBut(void)#1	src/SOURCE/ADVMGR.cpp	8619	8630	advManager::CheckDimNextHeroBut	(void)	cpp	0x004124d6	248bb869749370c741895c23f945b13cc084dca6da21302669aee1ce828c251d	reviewed	absent	absent	absent	absent	absent	absent	absent	absent	absent	open	Real button-frame choice from human-control and HasMobileHero; sends fixed widget command. B43 current-player index and player lifecycle inherited; no local aggregate, cast, goto or manual varargs.
src/SOURCE/ADVMGR.cpp:advManager::SeedTo(i32 targetX,i32 targetY)#1	src/SOURCE/ADVMGR.cpp	8633	8675	advManager::SeedTo	(i32 targetX,i32 targetY)	cpp	0x00412533	6667667f2e2f69d98c32a0d675bf3e33c3de8c81865b85bdbf7847c4575762c7	reviewed	absent	absent	absent	absent	absent	absent	absent	absent	absent	open	Human-control/current-hero guards then real initial/incremental SeedPosition calls. B18 current/target coordinates, direction and pathfinding skill remain search contracts. No artificial address arithmetic: direct hero-array element is legitimate for valid ID. No local buffer or unrelated reuse.
src/SOURCE/ADVMGR.cpp:advManager::ForceNewHover(void)#1	src/SOURCE/ADVMGR.cpp	8678	8688	advManager::ForceNewHover	(void)	cpp	0x00412648	c6ff5f499f5357cbeb443b0e751d00c901d8500495f838f3c8abfe965cd5bda0	reviewed	absent	absent	absent	absent	absent	absent	absent	absent	retain	open	MouseCoords produces actual x/y output scalars, both passed to ProcessHover; invalid-hover sentinel forces recomputation. B43 current player domain only; no fake aggregate, cast, owner arithmetic or manual varargs.
src/SOURCE/ADVMGR.cpp:advManager::ScreenScroll(MapDirection direction,i32 updatePointer)#1	src/SOURCE/ADVMGR.cpp	8691	8755	advManager::ScreenScroll	(MapDirection direction,i32 updatePointer)	cpp	0x00412697	41f6059d9f6dcfd1296160b94f5bf42b24df22c54f14f94e99368a8b4be6cc2d	reviewed	absent	absent	absent	absent	absent	absent	absent	absent	absent	open	Real saved candidate x/y origin values, explicit8-direction switch and viewport clamping. Origin may intentionally be negative near world edge; no map pointer formed here. B43 invalid enum could still select an invalid pointer frame before clamp; legitimate direction callers retained. No goto, cast or unrelated local reuse.
src/SOURCE/ADVMGR.cpp:advManager::CheckScreenScroll(void)#1	src/SOURCE/ADVMGR.cpp	8758	8800	advManager::CheckScreenScroll	(void)	cpp	0x0041283f	8e0cbda1f6705cbd7878992838cd444ddd40f187f88c10ab680e09400615fce6	reviewed	absent	absent	absent	absent	absent	absent	absent	absent	retain	retain	Actual mouse outputs and saved map origin detect scroll progress. Screen bounds precede border decisions; all eight dispatched directions are explicit valid enums and pointer-frame reset uses half-open range. No map dereference, fake stack owner, goto or manual varargs.
src/SOURCE/ADVMGR.cpp:advManager::MouseInScrollZone(void)#1	src/SOURCE/ADVMGR.cpp	8803	8815	advManager::MouseInScrollZone	(void)	cpp	0x004129ad	675bc5aac50ec8af0cbdff75ca38d3f2981073187a02f40b3dad2d31ee1c2f16	reviewed	absent	absent	absent	absent	absent	absent	absent	absent	retain	retain	Real MouseCoords output pair; explicit640x480 screen guard precedes border comparisons. Only scalar comparisons and returns, no out-of-object pointer, cast, union or buffer.
src/SOURCE/ADVMGR.cpp:advManager::SetInitialMapOrigin(void)#1	src/SOURCE/ADVMGR.cpp	8818	8869	advManager::SetInitialMapOrigin	(void)	cpp	0x00412a12	6aee892d7bcf997d0941074d192fadfbe9ce26df018228ee70f289a7bb6ba081	pending	pending	pending	pending	pending	pending	pending	pending	pending	pending	pending	STALE: S30 gameState unread. Real selected-town/first-hero/first-town alternatives; positive counts protect first-slot access but IDs/player domains remain B43. GetCell clamps map origin lookup while terrain image and music table indices still require valid metadata. Separate typed locals are meaningful, not a fabricated aggregate.
src/SOURCE/ADVMGR.cpp:advManager::LoadRemote(void)#1	src/SOURCE/ADVMGR.cpp	8872	8931	advManager::LoadRemote	(void)	cpp	0x00412c7a	03adbed99b4ce67dcac608bd547a5093eaf28fc0d027302243fd8ee7e7af09b8	pending	pending	pending	pending	pending	pending	pending	pending	pending	pending	pending	STALE: C25 applied direct truth test of recovered signed b8 game::m_cheated; complete98-unit native equivalence preserves writers/serializers and both consumers. Standalone retail checker agrees on all530 ordinary bytes/DIR32 but cannot resolve four pre-existing local-static identities, so no standalone closure claim. Actual once-warning statics and saved-game/turn flow. Fixed warnings fit gText768; B43 loaded player state/rmtRCName contract remains.
