# Generated by `homm2 audit cross-version-bodies`; do not hand-edit.
# reference: /home/sheep/Projects/homm2/homm2-decomp
# body: identical/formatting/renames = the reconstruction is intact,
#       so the residual is compiler-and-flags - hand it to the permuter.
#       divergent = this branch's copy drifted, or 2.1 changed the
#       function; read the bodies before assuming which.
body	lead	unit	symbol	similarity	renames	buka_tokens	pol_tokens	transition	unmatched_bytes
divergent	parity-gap	SOURCE/ADVMGR	?UpdBottomViewResMsg@advManager@@QAEHXZ	0.845		398	475	od-od	1
divergent	parity-gap	BASE/RESMGR	?ReadBlock@resourceManager@@QAEXPACK@Z	0.846		112	148	od-od	31
divergent	parity-gap	BASE/TEXTWDGT	?Main@textWidget@@UAEHAAUtag_message@@@Z	0.847		334	438	o2-od	333
divergent	parity-gap	SOURCE/CMBTMGR	?ShotIsThroughWall@combatManager@@QAEHHHH@Z	0.849		430	437	od-od	2
divergent	parity-gap	BASE/TEXTWDGT	?SetText@textWidget@@QAEXPAD@Z	0.851		76	98	o2-od	174
divergent	parity-gap	SOURCE/SETUP	?PickLoadGame@game@@QAEHXZ	0.852		290	339	od-od	1
divergent	parity-gap	BASE/FONT	?LineWidth@font@@QAEHPAD@Z	0.856		83	111	od-od	0
divergent	parity-gap	SOURCE/CMBTMGR	?SetupAdjacencyArray@combatManager@@QAEXXZ	0.858		289	287	od-od	0
divergent	parity-gap	BASE/Misc	?ReadPrefsFromFile@@YIXXZ	0.858		176	218	o2-od	69
divergent	parity-gap	BASE/ICONWDGT	?Draw@iconWidget@@UAEXXZ	0.859		168	202	o2-od	41
divergent	parity-gap	BASE/Midi	?MIDISetVolume@soundManager@@QAEXXZ	0.862		106	82	o2-od	49
divergent	parity-gap	SOURCE/GAME	?PerMonth@game@@QAEXXZ	0.863		489	489	od-od	3
divergent	parity-gap	SOURCE/wingraph	?SetGraphicsType@@YIHH@Z	0.865		450	579	od-od	0
divergent	parity-gap	SOURCE/Overview	?DoKnob@game@@QAEXXZ	0.867		495	509	od-od	1
divergent	parity-gap	SOURCE/ARMY	?CheckLuck@army@@QAEXXZ	0.867		291	297	od-od	39
divergent	parity-gap	SOURCE/dpnetwin	?dpWaitForFirstGuest@@YIHXZ	0.868		191	240	od-od	1
divergent	parity-gap	SOURCE/SPELLS	?Fireball@combatManager@@QAEXHH@Z	0.868		933	972	od-od	3
divergent	parity-gap	BASE/Misc	?WritePrefsToRegistry@@YIXXZ	0.872		1298	1574	o2-od	39
divergent	parity-gap	SOURCE/netwin	_nb_sess	0.873		723	723	od-od	2
divergent	parity-gap	SOURCE/Newgame	?GetVictoryConditionText@game@@QAEXPAD@Z	0.873		289	373	od-od	2
divergent	parity-gap	SOURCE/SETUP	?SetupHotSeatGame@game@@QAEHXZ	0.876		245	280	od-od	1
divergent	parity-gap	BASE/MOUSEMGR	?NewUpdate@mouseManager@@QAEXH@Z	0.882		678	715	o2-od	238
divergent	parity-gap	SOURCE/Newgame	?GetMap@game@@QAEXXZ	0.882		209	265	od-od	0
divergent	parity-gap	SOURCE/CURSOR	?DrawCursorShadow@advManager@@QAEXXZ	0.882		380	400	od-od	1
divergent	parity-gap	SOURCE/DRAWING	?ClearCombatMessages@combatManager@@QAEXH@Z	0.883		79	100	od-od	9
divergent	parity-gap	SOURCE/PHILAI	?EvaluateTownEvent@philAI@@QAEHHHHHPAH@Z	0.883		792	1002	od-od	82
divergent	parity-gap	SOURCE/PHILAI	?ChooseEvaluateBattle@philAI@@QAEXPAVarmyGroup@@PAVhero@@01HHHAAH2@Z	0.884		141	151	od-od	5
divergent	parity-gap	SOURCE/Newgame	?GetSideDesc@game@@QAEHPADHH@Z	0.889		392	490	od-od	255
divergent	parity-gap	SOURCE/EVENTS	?ReceiveHeroTownData@advManager@@QAEXPADPAH11PAPAVhero@@PAPAVarmyGroup@@PAPAVtown@@23111PAC55@Z	0.889		863	952	od-od	1
divergent	parity-gap	SOURCE/COMMAND	?ShowSkeletons@combatManager@@QAEXPAVheroWindow@@@Z	0.890		273	338	od-od	25
divergent	parity-gap	BASE/Misc	?ReadPrefsFromRegistry@@YIXXZ	0.891		1781	2099	o2-od	146
divergent	parity-gap	SOURCE/wingraph	?DDSetFullScreenStatus@@YIXH@Z	0.894		425	470	od-od	1
divergent	parity-gap	BASE/Misc	?IsCDDrive@@YIHH@Z	0.895		35	41	o2-od	2
divergent	parity-gap	SOURCE/KB	?SetupCDRom@@YIXXZ	0.899		186	228	od-od	58
divergent	parity-gap	SOURCE/REMOTE	?TransmitAndWait@@YIHPADHHCCPAPAD@Z	0.899		311	381	od-od	1
divergent	parity-gap	SOURCE/GAME	?LoadMap@game@@QAEHPAD@Z	0.899		710	756	od-od	2
divergent	parity-gap	SOURCE/SPELLS	?ShowSpellMessage@combatManager@@QAEXHHPAVarmy@@@Z	0.899		406	497	od-od	62
divergent	parity-gap	SOURCE/GAME	?ReceiveSaveGame@game@@QAEHHHHH@Z	0.903		1069	1278	od-od	111
divergent	parity-gap	BASE/Misc	?SetupCDDrive@@YIHXZ	0.904		579	673	o2-od	863
divergent	parity-gap	BASE/TEXTWDGT	??0textWidget@@QAE@FFFFPAD0FFFF@Z	0.907		95	99	o2-od	20
divergent	parity-gap	SOURCE/KB	?SmackFade@@YIXPAE0@Z	0.907		347	409	od-od	11
divergent	parity-gap	SOURCE/CMBTMGR	?Open@combatManager@@UAEHH@Z	0.907		459	546	od-od	95
divergent	parity-gap	SOURCE/Viewwrld	?ViewWorld@advManager@@QAEXHHH@Z	0.908		310	373	od-od	1
divergent	parity-gap	SOURCE/KB	?ShowCongrats@@YIXH@Z	0.910		365	433	od-od	162
divergent	parity-gap	BASE/BITMAP	?DrawToBufferCareful@bitmap@@QAEXFF@Z	0.910		195	196	o2-od	5
divergent	parity-gap	SOURCE/dpnetwin	?dpWaitForHost@@YIHXZ	0.911		467	541	od-od	1
divergent	parity-gap	SOURCE/comwin	?com_rcv@@YIFFGPAX@Z	0.911		143	162	od-od	9
divergent	parity-gap	BASE/Misc	?FindStringInString@@YIPADPAD0@Z	0.913		85	88	o2-od	36
divergent	parity-gap	SOURCE/ADVMGR	?Open@advManager@@UAEHH@Z	0.914		1228	1459	od-od	1
divergent	parity-gap	SOURCE/COMMAND	?ShowWinLoseArtifact@combatManager@@QAEXPAVheroWindow@@H@Z	0.916		328	386	od-od	25
divergent	parity-gap	SOURCE/VIEW	?ViewArmy@combatManager@@QAEXPAVarmy@@H@Z	0.916		225	229	od-od	1
divergent	parity-gap	SOURCE/comwin	?comm_wrt_task@@YIXXZ	0.916		138	161	od-od	1
divergent	parity-gap	SOURCE/COMMAND	?ShowEagleEyeSpell@combatManager@@QAEXPAVheroWindow@@@Z	0.917		371	436	od-od	25
divergent	parity-gap	SOURCE/STRIP	?Update@bankBox@@QAEXH@Z	0.918		151	165	od-od	0
divergent	parity-gap	SOURCE/tradpost	?UpdateTradingPost@@YIXH@Z	0.918		861	1015	od-od	413
divergent	parity-gap	BASE/Bzip	?DecodeData@@YIJPAD0K@Z	0.919		311	366	od-od	1
divergent	parity-gap	SOURCE/TOWNMGR	?SplitArmy@townManager@@QAEXXZ	0.919		319	375	od-od	1
divergent	parity-gap	SOURCE/KB	?ShutDown@@YIXPAD@Z	0.920		264	308	od-od	9
divergent	parity-gap	SOURCE/netwin	?nb_add_name_done@@YGXPAUNetbiosControlBlock@@@Z	0.920		174	200	od-od	213
divergent	parity-gap	SOURCE/HERO	?CheckAnduranPieces@hero@@QAEXH@Z	0.921		197	231	od-od	4
divergent	parity-gap	SOURCE/ADVMGR	?QuickInfo@advManager@@QAEXHH@Z	0.921		2121	2485	od-od	1003
divergent	parity-gap	BASE/Misc	?WritePrefsToFile@@YIXXZ	0.922		96	108	o2-od	58
divergent	parity-gap	SOURCE/CMBTMGR	?KeepAttack@combatManager@@QAEXH@Z	0.922		906	1060	od-od	87
divergent	parity-gap	BASE/RESMGR	?LoadAggregateHeader@resourceManager@@QAEHPAD@Z	0.925		168	193	od-od	0
divergent	parity-gap	SOURCE/Overview	?Overview@game@@QAEXXZ	0.927		674	772	od-od	33
divergent	parity-gap	SOURCE/ADVMGR	?GetCell@advManager@@QAEPAVmapCell@@HH@Z	0.929		55	57	od-od	35
divergent	parity-gap	BASE/BUTTON	?Draw@button@@UAEXXZ	0.932		75	86	o2-od	42
divergent	parity-gap	SOURCE/HISCORE	?Open@highScoreManager@@UAEHH@Z	0.933		147	168	od-od	20
divergent	parity-gap	SOURCE/GAME	?CompressTest3@@YIXXZ	0.933		49	56	od-od	0
divergent	parity-gap	SOURCE/wingraph	?DDAppPaint@@YIHPAX0@Z	0.934		711	781	od-od	22
divergent	parity-gap	SOURCE/RECRUIT	?SetupRecruitWin@@YIXPAVheroWindow@@HHHHH@Z	0.935		354	403	od-od	130
divergent	parity-gap	SOURCE/ADVMGR	?SystemOptions@advManager@@QAEXXZ	0.936		195	209	od-od	0
divergent	parity-gap	SOURCE/EVENTS	?DoCombat@advManager@@QAEHHHPAVhero@@PAVarmyGroup@@PAVtown@@01HHHH@Z	0.936		836	939	od-od	62
divergent	parity-gap	SOURCE/kbwin	_WinMain@16	0.936		206	234	od-od	0
divergent	parity-gap	SOURCE/Modem	?Connect@@YIXXZ	0.939		216	244	od-od	0
divergent	parity-gap	SOURCE/KB	?WaitEndSample@@YIXUSAMPLE2@@H@Z	0.939		101	97	od-od	55
divergent	parity-gap	SOURCE/ADVMGR	?UpdBottomViewKingdom@advManager@@QAEHXZ	0.940		548	616	od-od	2
divergent	parity-gap	SOURCE/REQUEST	?Open@fileRequester@@UAEHH@Z	0.940		577	633	od-od	2
divergent	parity-gap	BASE/Bzip	?EncodeData@@YIJPAD0K@Z	0.941		277	312	od-od	1
divergent	parity-gap	SOURCE/Wsnetwin	?wsSendMessage@@YIXHEGPAX@Z	0.942		357	397	od-od	10
divergent	parity-gap	SOURCE/SWAPMGR	?SplitMons@swapManager@@QAEXXZ	0.943		451	486	od-od	2
divergent	parity-gap	SOURCE/Newgame	?InitNewGameWindow@game@@QAEXXZ	0.944		990	1103	od-od	57
divergent	parity-gap	SOURCE/EVENTS	?BarrierEvent@advManager@@QAEHPAVmapCell@@PAVhero@@@Z	0.945		181	202	od-od	14
divergent	parity-gap	SOURCE/wingraph	?DDCreateSurface@@YIPAUIDirectDrawSurface@@KKH@Z	0.946		231	249	od-od	1
divergent	parity-gap	SOURCE/RECRUIT	?QuickViewRecruit@@YIXPAVtown@@H@Z	0.946		219	244	od-od	1
divergent	parity-gap	SOURCE/tradpost	?ComputeTradeRatios@@YIXHHPAH00@Z	0.947		124	138	od-od	4
divergent	parity-gap	SOURCE/Modem	?ModemCommand@@YIXPAD@Z	0.947		62	69	od-od	0
divergent	parity-gap	BASE/WINDOW	??0heroWindow@@QAE@XZ	0.948		64	71	od-od	41
divergent	parity-gap	SOURCE/ADVMGR	?GetSoundId@advManager@@QAEHHH@Z	0.949		450	452	od-od	564
divergent	parity-gap	SOURCE/CMBTMGR	??0combatManager@@QAE@XZ	0.950		132	146	od-od	60
divergent	parity-gap	SOURCE/AI	?GetModLichDamage@combatManager@@QAEMPAVarmy@@M@Z	0.950		132	146	od-od	11
divergent	parity-gap	SOURCE/Viewwrld	?ViewWorldDialogHandler@@YIHAAUtag_message@@@Z	0.950		908	1004	od-od	28
divergent	parity-gap	SOURCE/EVENTS	?FizzleCenter@advManager@@QAEXH@Z	0.952		139	153	od-od	25
divergent	parity-gap	SOURCE/EVENTS	?PlayerMonsterInteract@advManager@@QAEXPAVmapCell@@0PAVhero@@PAHHHHHH@Z	0.952		1259	1385	od-od	8
divergent	parity-gap	SOURCE/HISCORE	?Update@highScoreManager@@QAEXXZ	0.952		1122	1234	od-od	112
divergent	parity-gap	SOURCE/Netbios	?InitNetHost@@YICXZ	0.953		211	232	od-od	0
divergent	parity-gap	SOURCE/ADVMGR	?DoVisions@advManager@@QAEHPAVhero@@@Z	0.953		643	706	od-od	17
divergent	parity-gap	SOURCE/ADVMGR	?CheckCastSpell@advManager@@QAEXXZ	0.954		72	79	od-od	14
divergent	parity-gap	SOURCE/SPELLAI	?EffectSpellCure@combatManager@@QAEXPAHHHH@Z	0.954		527	534	od-od	2
divergent	parity-gap	SOURCE/ADVMGR	?ProcessSearch@advManager@@QAEHHH@Z	0.955		812	889	od-od	53
divergent	parity-gap	SOURCE/CMBTMGR	?CheckApplyBadMorale@combatManager@@QAEHHH@Z	0.955		223	244	od-od	29
divergent	parity-gap	SOURCE/GAME	?ViewArmy@game@@QAEXHHHHPAVtown@@HHHPAVhero@@PAVarmy@@PAVarmyGroup@@H@Z	0.955		1841	2010	od-od	342
divergent	parity-gap	SOURCE/EVENTS	?EventSound@advManager@@QAEXHHPAUSAMPLE2@@@Z	0.956		615	670	od-od	567
divergent	parity-gap	SOURCE/GAME	?SetupNewRumour@game@@QAEXXZ	0.957		697	760	od-od	253
divergent	parity-gap	SOURCE/KB	?InterpretCommandLine@@YIHXZ	0.957		931	1015	od-od	522
divergent	parity-gap	SOURCE/CURSOR	?ProcessMapChange@advManager@@QAEXUSMapChange@@@Z	0.957		931	1015	od-od	178
divergent	parity-gap	SOURCE/PHILAI	?EvaluateMineEvent@philAI@@QAEHHHHPAH@Z	0.957		416	426	od-od	20
divergent	parity-gap	SOURCE/SPELLS	?RippleCreature@combatManager@@QAEXHHH@Z	0.957		790	852	od-od	40
divergent	parity-gap	SOURCE/PHILAI	?ValueOfTown@philAI@@QAEHPAVtown@@@Z	0.958		160	174	od-od	19
divergent	parity-gap	SOURCE/ADVMGR	?UpdBottomViewHero@advManager@@QAEHXZ	0.959		777	842	od-od	94
divergent	parity-gap	BASE/WINDOW	??0heroWindow@@QAE@HHHHH@Z	0.959		82	89	od-od	33
divergent	parity-gap	SOURCE/CMBTMGR	?CheckApplyGoodMorale@combatManager@@QAEXHH@Z	0.960		252	273	od-od	26
divergent	parity-gap	SOURCE/CMBTMGR	?LowerDoor@combatManager@@QAEXXZ	0.960		84	91	od-od	26
divergent	parity-gap	SOURCE/Overview	?SetupDynamicStuff@game@@QAEXHHH@Z	0.960		3756	4055	od-od	330
divergent	parity-gap	SOURCE/Newgame	?ShowScenInfo@game@@QAEXXZ	0.961		1852	2000	od-od	192
divergent	parity-gap	SOURCE/GAME	?ComputeUALoc@@YIXH@Z	0.961		456	460	od-od	1
divergent	parity-gap	SOURCE/Netbios	?InitNetGuest@@YICXZ	0.961		261	282	od-od	0
divergent	parity-gap	SOURCE/KB	?ReceiveHostReportsPlayerExit@@YIXHUSPlayerExit@@H@Z	0.961		524	566	od-od	57
divergent	parity-gap	SOURCE/Modem	?ReadPacket@@YIDXZ	0.962		176	190	od-od	12
divergent	parity-gap	SOURCE/DRAWING	?CombatMessage@combatManager@@QAEXPADHHH@Z	0.962		442	477	od-od	101
divergent	parity-gap	SOURCE/PHILAI	?TurnValueOfObelisk@philAI@@QAEMH@Z	0.963		181	195	od-od	38
divergent	parity-gap	BASE/droplist	?Main@dropListWidget@@UAEHAAUtag_message@@@Z	0.963		658	698	o2-od	844
divergent	parity-gap	SOURCE/X_CAMPGN	?ShowInfo@ExpCampaign@@QAEXHH@Z	0.963		459	494	od-od	42
divergent	parity-gap	SOURCE/REQUEST	?ShowThisMapGame@@YIHPAD@Z	0.963		92	99	od-od	26
divergent	parity-gap	SOURCE/TOWNMGR	?SetupThievesGuild@townManager@@QAEXPAVheroWindow@@H@Z	0.964		1660	1779	od-od	189
divergent	parity-gap	SOURCE/kbwin	?AppCommand@@YIJPAXIIJ@Z	0.965		191	205	od-od	0
divergent	parity-gap	SOURCE/GAME	?LoadGame@game@@QAEXPADHH@Z	0.965		1386	1481	od-od	19
divergent	parity-gap	SOURCE/SWAPMGR	?Open@swapManager@@UAEHH@Z	0.965		671	720	od-od	2
divergent	parity-gap	SOURCE/KB	?AddScoreToHighScore@@YIHHHHHPAD@Z	0.966		490	525	od-od	11
divergent	parity-gap	SOURCE/TOWNMGR	?SetupWell@townManager@@QAEXPAVheroWindow@@@Z	0.966		983	1053	od-od	156
divergent	parity-gap	BASE/listbox	?ProcessMouseMessage@listBoxWidget@@QAEHAAUtag_message@@@Z	0.966		568	591	o2-od	797
divergent	parity-gap	SOURCE/Overview	?SetupResources@game@@QAEXXZ	0.967		102	109	od-od	0
divergent	parity-gap	SOURCE/SMACKMGR	?PlaySmacker@@YIHH@Z	0.967		253	270	od-od	42
divergent	parity-gap	SOURCE/KB	?ReceiveRemotePlayerExit@@YIXUSPlayerExit@@@Z	0.968		521	556	od-od	59
divergent	parity-gap	SOURCE/EVENTS	?GenericSiteEvent@advManager@@QAEXPAVmapCell@@PAVhero@@@Z	0.968		1257	1341	od-od	135
divergent	parity-gap	SOURCE/KB	?SetupDynamicWindow@@YIXHHHHHHHPAH00000PAPAVheroWindow@@H@Z	0.968		954	1017	od-od	45
divergent	parity-gap	SOURCE/GAME	?InitRandomArtifacts@game@@QAEXXZ	0.968		94	94	od-od	15
divergent	parity-gap	SOURCE/CMBTMGR	?RaiseDoor@combatManager@@QAEXXZ	0.969		108	115	od-od	26
divergent	parity-gap	SOURCE/ADVMGR	?SetEnvironmentOrigin@advManager@@QAEXHHH@Z	0.969		435	463	od-od	78
divergent	parity-gap	BASE/Misc	?DataEntryWindowHandler@@YIHAAUtag_message@@@Z	0.969		378	402	o2-od	140
divergent	parity-gap	SOURCE/PHILAI	?QuickCombat@philAI@@QAEHPAVarmyGroup@@PAVhero@@01HHAAM2@Z	0.969		1057	1091	od-od	64
divergent	parity-gap	SOURCE/EVENTS	?PasswordEvent@advManager@@QAEXPAVmapCell@@PAVhero@@@Z	0.969		111	118	od-od	14
divergent	parity-gap	SOURCE/PHILAI	?GetBestBHC@philAI@@QAEXHAAUBHC@@@Z	0.969		667	709	od-od	81
divergent	parity-gap	SOURCE/EVENTS	?JailEvent@advManager@@QAEXPAVmapCell@@PAVhero@@HH@Z	0.970		336	357	od-od	28
divergent	parity-gap	SOURCE/Overview	?ProcessIconSelect@game@@QAEHHH@Z	0.970		886	940	od-od	77
divergent	parity-gap	SOURCE/SPELLS	?HandleCastSpell@@YIHAAUtag_message@@@Z	0.970		345	366	od-od	158
divergent	parity-gap	SOURCE/ADVMGR	?TownGate@advManager@@QAEXH@Z	0.971		576	611	od-od	37
divergent	parity-gap	SOURCE/HERO	?DoHeroSplit@@YIXHH@Z	0.971		348	369	od-od	0
divergent	parity-gap	SOURCE/PHILAI	?ValueOfBuyingBuilding@philAI@@QAEXPAVtown@@HAAHAAM@Z	0.971		1282	1359	od-od	272
divergent	parity-gap	SOURCE/CMBTMGR	?CombatSystemOptionsHandler@@YIHAAUtag_message@@@Z	0.971		520	551	od-od	16
divergent	parity-gap	SOURCE/x_arena	?DoArenaDialog@@YIHXZ	0.971		474	502	od-od	2
divergent	parity-gap	SOURCE/EVENTS	?SendHeroTownData@advManager@@QAEXHHPAVhero@@PAVarmyGroup@@PAVtown@@01HHHHHHH@Z	0.971		681	717	od-od	65
divergent	parity-gap	SOURCE/PHILAI	?GetBestBuilding@philAI@@QAEXPAVtown@@AAUBHC@@AAM@Z	0.972		239	253	od-od	1
divergent	parity-gap	BASE/listbox	?Main@listBoxWidget@@UAEHAAUtag_message@@@Z	0.972		661	689	o2-od	638
divergent	parity-gap	SOURCE/ADVMGR	?DimensionDoor@advManager@@QAEXXZ	0.972		242	256	od-od	1
divergent	parity-gap	SOURCE/TOWNMGR	?BuyBuild@townManager@@QAEHHHH@Z	0.972		2148	2268	od-od	125
divergent	parity-gap	SOURCE/PHILAI	?BuildBuilding@philAI@@QAEXPAVtown@@H@Z	0.973		124	131	od-od	0
divergent	parity-gap	SOURCE/SETUP	?SetupNetworkGame2@game@@QAEHXZ	0.973		250	264	od-od	47
divergent	parity-gap	SOURCE/COMMAND	?DoSurrender@combatManager@@QAEHXZ	0.974		527	555	od-od	83
divergent	parity-gap	SOURCE/SWAPMGR	?SwapArtifacts@swapManager@@QAEXXZ	0.975		372	379	od-od	1
divergent	parity-gap	SOURCE/COMMAND	?DoLoseWindow@combatManager@@QAEXXZ	0.975		540	568	od-od	11
divergent	parity-gap	SOURCE/SWAPMGR	?Main@swapManager@@UAEHAAUtag_message@@@Z	0.975		1955	1969	od-od	636
divergent	parity-gap	SOURCE/KB	?CheckEndGame@@YIXHH@Z	0.975		3190	3351	od-od	251
divergent	parity-gap	SOURCE/ADVMGR	?GetCursorSampleSet@advManager@@QAEXH@Z	0.976		140	147	od-od	1
divergent	parity-gap	SOURCE/Overview	?SetupNewOverviewType@game@@QAEXHH@Z	0.976		527	551	od-od	57
divergent	parity-gap	SOURCE/EVENTS	?EventWindow@advManager@@QAEXHHPADHHHHH@Z	0.976		142	149	od-od	0
divergent	parity-gap	SOURCE/GAME	?ViewSpells@game@@QAEHPAVhero@@HP6IHAAUtag_message@@@ZH@Z	0.976		290	304	od-od	16
divergent	parity-gap	SOURCE/TOWNMGR	?SetupTown@townManager@@QAEXXZ	0.977		1024	1073	od-od	104
divergent	parity-gap	BASE/TEXTWDGT	?Read@textWidget@@QAEXXZ	0.977		169	175	o2-od	17
divergent	parity-gap	SOURCE/Campaign	?ShowCampaignInfo@game@@QAEXHH@Z	0.977		592	620	od-od	40
divergent	parity-gap	SOURCE/GAME	?UpdateSpellWidgets@game@@QAEXXZ	0.977		741	776	od-od	512
divergent	parity-gap	SOURCE/PHILAI	?ProbableOutcomeOfBattle@philAI@@QAEXPAVarmyGroup@@PAVhero@@010HHHAAMAAH3333@Z	0.977		1138	1162	od-od	165
divergent	parity-gap	BASE/WINDOW	?MoveWindow@heroWindow@@QAEXHH@Z	0.978		185	185	od-od	1
divergent	parity-gap	SOURCE/ADVMGR	?FindAdjacentMonster@advManager@@QAEHHHPAH0HH@Z	0.979		420	422	od-od	31
divergent	parity-gap	BASE/INPUTMGR	?AsciiConvert@inputManager@@QAEXAAUtag_message@@@Z	0.979		504	483	o2-od	342
divergent	parity-gap	SOURCE/SPELLS	?SummonElemental@combatManager@@QAEXHH@Z	0.980		296	292	od-od	1
divergent	parity-gap	SOURCE/ADVMGR	?CastSpell@advManager@@QAEXH@Z	0.980		506	527	od-od	28
divergent	parity-gap	SOURCE/PHILAI	?ComputeValueOfSS@philAI@@QAEHPAVhero@@HH@Z	0.980		343	357	od-od	51
divergent	parity-gap	BASE/Textntry	?SetupDisplayString@textEntryWidget@@QAEXPADG@Z	0.981		256	266	o2-od	106
divergent	parity-gap	SOURCE/ADVMGR	?AdvPanel@advManager@@QAEXXZ	0.981		363	377	od-od	20
divergent	parity-gap	SOURCE/SPELLS	?DoBlast@combatManager@@QAEXHH@Z	0.981		472	486	od-od	5
divergent	parity-gap	SOURCE/REQUEST	?Update@fileRequester@@QAEXH@Z	0.981		1484	1540	od-od	32
divergent	parity-gap	BASE/MOUSEMGR	?SetPointer@mouseManager@@QAEXH@Z	0.982		695	711	o2-od	146
divergent	parity-gap	SOURCE/TOWNMGR	?SetupMage@townManager@@QAEXPAVheroWindow@@@Z	0.982		759	787	od-od	36
divergent	parity-gap	BASE/EXEC	?AddManager@executive@@QAEHPAVbaseManager@@H@Z	0.982		218	224	o2-od	26
divergent	parity-gap	SOURCE/HERO	?UpdateArmies@hero@@QAEXXZ	0.983		402	416	od-od	2
divergent	parity-gap	SOURCE/Castle	?SetupCastle@townManager@@QAEXPAVheroWindow@@H@Z	0.983		2253	2330	od-od	109
divergent	parity-gap	SOURCE/ADVMGR	?LoadRemote@advManager@@QAEXXZ	0.983		205	212	od-od	187
divergent	parity-gap	SOURCE/GAME	?DoNewTurn@game@@QAEXXZ	0.983		562	581	od-od	327
divergent	parity-gap	SOURCE/DRAWING	?UpdateMouseGrid@combatManager@@QAEXHH@Z	0.984		608	608	od-od	1
divergent	parity-gap	SOURCE/COMMAND	?WinCombatHandler@@YIHAAUtag_message@@@Z	0.984		839	867	od-od	49
divergent	parity-gap	SOURCE/GAME	?CreateBoat@game@@QAEHHHH@Z	0.984		189	189	od-od	0
divergent	parity-gap	SOURCE/GAME	?PerDay@game@@QAEXXZ	0.984		1081	1091	od-od	109
divergent	parity-gap	SOURCE/GAME	?ViewArmyHandler@@YIHAAUtag_message@@@Z	0.985		669	690	od-od	82
divergent	parity-gap	SOURCE/PHILAI	?GetBestHero@philAI@@QAEXPAVtown@@AAUBHC@@AAM@Z	0.985		223	230	od-od	7
divergent	parity-gap	SOURCE/TOWNMGR	??0townObject@@QAE@HHPAD@Z	0.985		231	238	od-od	1
divergent	parity-gap	SOURCE/GAME	?CalcBaseScore@@YIHH@Z	0.985		235	242	od-od	30
divergent	parity-gap	SOURCE/PHILAI	?EvaluateMonsterEvent@philAI@@QAEHHHPAH@Z	0.985		472	486	od-od	9
divergent	parity-gap	SOURCE/ADVMGR	?SystemOptionsHandler@@YIHAAUtag_message@@@Z	0.986		956	984	od-od	290
divergent	parity-gap	SOURCE/PHILAI	?HeroInteractionAtHero@philAI@@QAEXPAVhero@@0HPAH@Z	0.986		695	707	od-od	7
divergent	parity-gap	SOURCE/REMOTE	?SendRemoteData@@YIHPAE0HH@Z	0.986		242	249	od-od	0
divergent	parity-gap	SOURCE/SPELLS	?MeteorShower@combatManager@@QAEXH@Z	0.986		490	504	od-od	2
divergent	parity-gap	SOURCE/VIEW	?ViewGeneral@combatManager@@QAEHHHH@Z	0.986		1239	1274	od-od	43
divergent	parity-gap	SOURCE/Newgame	?UpdateNewGameWindow@game@@QAEXXZ	0.986		997	1025	od-od	158
divergent	parity-gap	BASE/WINMGR	?Open@heroWindowManager@@UAEHH@Z	0.986		147	149	o2-od	60
divergent	parity-gap	BASE/MOUSEMGR	?SetPointer@mouseManager@@QAEXPADHH@Z	0.987		225	223	o2-od	21
divergent	parity-gap	BASE/BITMAP	?GrabBitmapCareful@bitmap@@QAEXPAV1@FF@Z	0.987		188	189	o2-od	5
divergent	parity-gap	SOURCE/COMMAND	?ProcessNextAction@combatManager@@QAEHAAUtag_message@@@Z	0.988		852	873	od-od	63
divergent	parity-gap	SOURCE/SETUP	?BaseSetupHandler@@YIHAAUtag_message@@@Z	0.988		165	169	od-od	10
divergent	parity-gap	SOURCE/TOWNMGR	?RecruitHero@townManager@@QAEHHH@Z	0.988		873	894	od-od	102
divergent	parity-gap	SOURCE/GAME	?ProcessOnMapHeroes@game@@QAEXXZ	0.989		1105	1128	od-od	79
divergent	parity-gap	SOURCE/DRAWING	?DrawSmallView@combatManager@@QAEXHH@Z	0.989		1901	1944	od-od	259
divergent	parity-gap	SOURCE/GAME	?SetupPuzzlePieces@game@@QAEHHH@Z	0.989		317	324	od-od	7
divergent	parity-gap	SOURCE/GAME	?NextPlayer@game@@QAEXXZ	0.989		653	667	od-od	45
divergent	parity-gap	SOURCE/REMOTE	?TransmitRemoteData@@YIHPADHHCCCC@Z	0.989		327	334	od-od	14
divergent	parity-gap	SOURCE/PHILAI	?CheckBuyStuff@philAI@@QAEXXZ	0.990		677	691	od-od	52
divergent	parity-gap	SOURCE/PHILAI	?GetBestCreature@philAI@@QAEXPAVtown@@AAUBHC@@AAM@Z	0.990		537	544	od-od	2
divergent	parity-gap	BASE/Midi	?MIDIIsPlaying@soundManager@@QAEHXZ	0.990		52	53	o2-od	73
divergent	parity-gap	SOURCE/AI	?DoLichShot@combatManager@@QAEXPAVarmy@@@Z	0.991		372	379	od-od	48
divergent	parity-gap	SOURCE/KB	?EventWindowHandler@@YIHAAUtag_message@@@Z	0.991		767	781	od-od	196
divergent	parity-gap	SOURCE/SPELLS	?DrawBolt@combatManager@@QAEXPAUSBolt@@H@Z	0.991		773	787	od-od	215
divergent	parity-gap	SOURCE/PHILAI	?BuildHero@philAI@@QAEXPAVtown@@H@Z	0.991		395	402	od-od	42
