source_file	source_enum	source_line	starting_members	retained_members	reused_or_moved_members	reason	members
include/SOURCE/KB.h	KbBuildingConstant	173	5	2	3	Dwelling table extent is shared. Duplicate dwelling flags address the exact same town building word and need no separate flag type.	"[{""name"":""KB_BUILDING_NEUTRAL_LIMIT"",""retail"":16,""strict"":16},{""name"":""KB_BUILDING_RESOURCE_COUNT"",""retail"":7,""strict"":7,""target"":{""file"":""include/SOURCE/KB_TYPES.h"",""enum"":""ResourceType"",""name"":""RES_COUNT""},""reason"":""Extent is indexed by this existing semantic domain: RES_COUNT.""},{""name"":""KB_MAGE_GUILD_MAX_LEVEL"",""retail"":5,""strict"":5,""target"":{""file"":""include/SOURCE/town.h"",""enum"":""TownConstant"",""name"":""TOWN_MAGE_GUILD_LEVEL_COUNT""},""reason"":""Same owner storage/index, selected asset, encoded field or gameplay rule: TOWN_MAGE_GUILD_LEVEL_COUNT.""},{""name"":""KB_MAGE_GUILD_LEVEL_COUNT"",""retail"":6,""strict"":6},{""name"":""KB_DWELLING_TYPE_COUNT"",""retail"":12,""strict"":12,""target"":{""file"":""include/SOURCE/KB_TYPES.h"",""enum"":""DwellingLayoutConstant"",""name"":""KB_DWELLING_TYPE_COUNT""},""reason"":""Move the canonical value to its shared low-level owner; avoid circular manager-header dependencies.""}]"
include/SOURCE/KB.h	KbDwellingFlag	182	11	0	11	Dwelling table extent is shared. Duplicate dwelling flags address the exact same town building word and need no separate flag type.	"[{""name"":""KB_DWELLING_FIRST_FLAG"",""retail"":1048576,""strict"":1048576,""target"":{""file"":""include/SOURCE/town.h"",""enum"":""TownBuilding"",""name"":""TOWN_BUILDING_DWELLING_2""},""reason"":""Same bit in town::m_buildings; the duplicate flag domain has no type consumers.""},{""name"":""KB_DWELLING_SECOND_FLAG"",""retail"":2097152,""strict"":2097152,""target"":{""file"":""include/SOURCE/town.h"",""enum"":""TownBuilding"",""name"":""TOWN_BUILDING_DWELLING_3""},""reason"":""Same bit in town::m_buildings; the duplicate flag domain has no type consumers.""},{""name"":""KB_DWELLING_THIRD_FLAG"",""retail"":4194304,""strict"":4194304,""target"":{""file"":""include/SOURCE/town.h"",""enum"":""TownBuilding"",""name"":""TOWN_BUILDING_DWELLING_4""},""reason"":""Same bit in town::m_buildings; the duplicate flag domain has no type consumers.""},{""name"":""KB_DWELLING_FOURTH_FLAG"",""retail"":8388608,""strict"":8388608,""target"":{""file"":""include/SOURCE/town.h"",""enum"":""TownBuilding"",""name"":""TOWN_BUILDING_DWELLING_5""},""reason"":""Same bit in town::m_buildings; the duplicate flag domain has no type consumers.""},{""name"":""KB_DWELLING_FIFTH_FLAG"",""retail"":16777216,""strict"":16777216,""target"":{""file"":""include/SOURCE/town.h"",""enum"":""TownBuilding"",""name"":""TOWN_BUILDING_DWELLING_6""},""reason"":""Same bit in town::m_buildings; the duplicate flag domain has no type consumers.""},{""name"":""KB_DWELLING_UPGRADE_FIRST_FLAG"",""retail"":33554432,""strict"":33554432,""target"":{""file"":""include/SOURCE/town.h"",""enum"":""TownBuilding"",""name"":""TOWN_BUILDING_UPGRADED_DWELLING_2""},""reason"":""Same bit in town::m_buildings; the duplicate flag domain has no type consumers.""},{""name"":""KB_DWELLING_UPGRADE_SECOND_FLAG"",""retail"":67108864,""strict"":67108864,""target"":{""file"":""include/SOURCE/town.h"",""enum"":""TownBuilding"",""name"":""TOWN_BUILDING_UPGRADED_DWELLING_3""},""reason"":""Same bit in town::m_buildings; the duplicate flag domain has no type consumers.""},{""name"":""KB_DWELLING_UPGRADE_THIRD_FLAG"",""retail"":134217728,""strict"":134217728,""target"":{""file"":""include/SOURCE/town.h"",""enum"":""TownBuilding"",""name"":""TOWN_BUILDING_UPGRADED_DWELLING_4""},""reason"":""Same bit in town::m_buildings; the duplicate flag domain has no type consumers.""},{""name"":""KB_DWELLING_UPGRADE_FOURTH_FLAG"",""retail"":268435456,""strict"":268435456,""target"":{""file"":""include/SOURCE/town.h"",""enum"":""TownBuilding"",""name"":""TOWN_BUILDING_UPGRADED_DWELLING_5""},""reason"":""Same bit in town::m_buildings; the duplicate flag domain has no type consumers.""},{""name"":""KB_DWELLING_UPGRADE_FIFTH_FLAG"",""retail"":536870912,""strict"":536870912,""target"":{""file"":""include/SOURCE/town.h"",""enum"":""TownBuilding"",""name"":""TOWN_BUILDING_UPGRADED_DWELLING_6""},""reason"":""Same bit in town::m_buildings; the duplicate flag domain has no type consumers.""},{""name"":""KB_DWELLING_UPGRADE_SIXTH_FLAG"",""retail"":1073741824,""strict"":1073741824,""target"":{""file"":""include/SOURCE/town.h"",""enum"":""TownBuilding"",""name"":""TOWN_BUILDING_ALTERNATE_UPGRADED_DWELLING_6""},""reason"":""Same bit in town::m_buildings; the duplicate flag domain has no type consumers.""}]"
include/SOURCE/KB.h	NormalDialogResourceType	196	24	24	0	Dialog presentation extends real resources with spells/heroes/stat icons; retain this UI domain separately from ResourceType. Share reserved button IDs and framebuffer bounds.	"[{""name"":""NORMAL_DIALOG_NO_RESOURCE"",""retail"":-1,""strict"":-1},{""name"":""NORMAL_DIALOG_RESOURCE_WOOD"",""retail"":0,""strict"":0},{""name"":""NORMAL_DIALOG_RESOURCE_FIRST"",""retail"":0,""strict"":0},{""name"":""NORMAL_DIALOG_RESOURCE_MERCURY"",""retail"":1,""strict"":1},{""name"":""NORMAL_DIALOG_RESOURCE_ORE"",""retail"":2,""strict"":2},{""name"":""NORMAL_DIALOG_RESOURCE_SULFUR"",""retail"":3,""strict"":3},{""name"":""NORMAL_DIALOG_RESOURCE_CRYSTAL"",""retail"":4,""strict"":4},{""name"":""NORMAL_DIALOG_RESOURCE_GEMS"",""retail"":5,""strict"":5},{""name"":""NORMAL_DIALOG_RESOURCE_GOLD"",""retail"":6,""strict"":6},{""name"":""NORMAL_DIALOG_RESOURCE_LAST"",""retail"":6,""strict"":6},{""name"":""NORMAL_DIALOG_ARTIFACT"",""retail"":7,""strict"":7},{""name"":""NORMAL_DIALOG_SPELL"",""retail"":8,""strict"":8},{""name"":""NORMAL_DIALOG_CREST"",""retail"":9,""strict"":9},{""name"":""NORMAL_DIALOG_LUCK_BONUS"",""retail"":10,""strict"":10},{""name"":""NORMAL_DIALOG_LUCK_PENALTY"",""retail"":11,""strict"":11},{""name"":""NORMAL_DIALOG_MORALE_BONUS"",""retail"":12,""strict"":12},{""name"":""NORMAL_DIALOG_MORALE_PENALTY"",""retail"":13,""strict"":13},{""name"":""NORMAL_DIALOG_EXPERIENCE"",""retail"":14,""strict"":14},{""name"":""NORMAL_DIALOG_EXPMRL_FIRST"",""retail"":10,""strict"":10},{""name"":""NORMAL_DIALOG_EXPMRL_LAST"",""retail"":14,""strict"":14},{""name"":""NORMAL_DIALOG_HERO"",""retail"":15,""strict"":15},{""name"":""NORMAL_DIALOG_SECONDARY_SKILL"",""retail"":17,""strict"":17},{""name"":""NORMAL_DIALOG_MONSTER"",""retail"":18,""strict"":18},{""name"":""NORMAL_DIALOG_PRIMARY_SKILL"",""retail"":25,""strict"":25}]"
include/SOURCE/KB.h	NormalDialogConstant	223	36	27	9	Dialog presentation extends real resources with spells/heroes/stat icons; retain this UI domain separately from ResourceType. Share reserved button IDs and framebuffer bounds.	"[{""name"":""NORMAL_DIALOG_INFO"",""retail"":1,""strict"":1},{""name"":""NORMAL_DIALOG_CONFIRM"",""retail"":2,""strict"":2},{""name"":""NORMAL_DIALOG_BUTTON_PAIR"",""retail"":3,""strict"":3},{""name"":""NORMAL_DIALOG_QUICK_VIEW"",""retail"":4,""strict"":4},{""name"":""NORMAL_DIALOG_WAIT_FIRST"",""retail"":5,""strict"":5},{""name"":""NORMAL_DIALOG_WAIT_LAST"",""retail"":6,""strict"":6},{""name"":""NORMAL_DIALOG_DISABLE_SEVENTH"",""retail"":7,""strict"":7},{""name"":""NORMAL_DIALOG_DISABLE_EIGHTH"",""retail"":8,""strict"":8},{""name"":""NORMAL_DIALOG_RESOURCE_COUNT"",""retail"":2,""strict"":2},{""name"":""NORMAL_DIALOG_PRIMARY_BONUS_OFFSET"",""retail"":100,""strict"":100},{""name"":""NORMAL_DIALOG_DAILY_RESOURCE_OFFSET"",""retail"":100000,""strict"":100000},{""name"":""NORMAL_DIALOG_SHOW_OR_TEXT"",""retail"":1,""strict"":1},{""name"":""NORMAL_DIALOG_NO_VALUE"",""retail"":-1,""strict"":-1},{""name"":""NORMAL_DIALOG_TEXT_LENGTH"",""retail"":80,""strict"":80},{""name"":""NORMAL_DIALOG_FILENAME_LENGTH"",""retail"":16,""strict"":16},{""name"":""NORMAL_DIALOG_WINDOW_WIDTH"",""retail"":306,""strict"":306},{""name"":""NORMAL_DIALOG_WINDOW_BASE_HEIGHT"",""retail"":180,""strict"":180},{""name"":""NORMAL_DIALOG_WINDOW_ROW_HEIGHT"",""retail"":45,""strict"":45},{""name"":""NORMAL_DIALOG_MAX_ROWS"",""retail"":6,""strict"":6},{""name"":""NORMAL_DIALOG_TEXT_LINE_WIDTH"",""retail"":244,""strict"":244},{""name"":""NORMAL_DIALOG_TEXT_LINE_HEIGHT"",""retail"":16,""strict"":16},{""name"":""NORMAL_DIALOG_SCREEN_RIGHT"",""retail"":639,""strict"":639,""target"":{""file"":""include/BASE/display.h"",""enum"":""LogicalScreenConstant"",""name"":""LOGICAL_SCREEN_MAX_X""},""reason"":""Same fixed logical framebuffer dimension or inclusive framebuffer bound.""},{""name"":""NORMAL_DIALOG_SCREEN_BOTTOM"",""retail"":479,""strict"":479,""target"":{""file"":""include/BASE/display.h"",""enum"":""LogicalScreenConstant"",""name"":""LOGICAL_SCREEN_MAX_Y""},""reason"":""Same fixed logical framebuffer dimension or inclusive framebuffer bound.""},{""name"":""NORMAL_DIALOG_SCREEN_HEIGHT"",""retail"":480,""strict"":480,""target"":{""file"":""include/BASE/display.h"",""enum"":""LogicalScreenConstant"",""name"":""LOGICAL_SCREEN_HEIGHT""},""reason"":""Same fixed logical framebuffer dimension or inclusive framebuffer bound.""},{""name"":""NORMAL_DIALOG_MAX_TOP"",""retail"":28,""strict"":28},{""name"":""NORMAL_DIALOG_TEXT_WIDGET_FIRST_ID"",""retail"":100,""strict"":100},{""name"":""NORMAL_DIALOG_RESOURCE_BORDER_FIRST_ID"",""retail"":7700,""strict"":7700},{""name"":""NORMAL_DIALOG_TIMEOUT_MIN"",""retail"":1,""strict"":1},{""name"":""NORMAL_DIALOG_TIMEOUT_MAX"",""retail"":20000,""strict"":20000},{""name"":""NORMAL_DIALOG_TEXT_WIDGET_ID"",""retail"":1,""strict"":1},{""name"":""NORMAL_DIALOG_BUTTON_ONE"",""retail"":30721,""strict"":30721,""target"":{""file"":""include/BASE/dialog.h"",""enum"":""DialogButtonId"",""name"":""DIALOG_BUTTON_1""},""reason"":""Reserved button ID carried unchanged by window records, widget selection and modal results.""},{""name"":""NORMAL_DIALOG_BUTTON_TWO"",""retail"":30722,""strict"":30722,""target"":{""file"":""include/BASE/dialog.h"",""enum"":""DialogButtonId"",""name"":""DIALOG_BUTTON_2""},""reason"":""Reserved button ID carried unchanged by window records, widget selection and modal results.""},{""name"":""NORMAL_DIALOG_BUTTON_FIVE"",""retail"":30725,""strict"":30725,""target"":{""file"":""include/BASE/dialog.h"",""enum"":""DialogButtonId"",""name"":""DIALOG_BUTTON_5""},""reason"":""Reserved button ID carried unchanged by window records, widget selection and modal results.""},{""name"":""NORMAL_DIALOG_BUTTON_SIX"",""retail"":30726,""strict"":30726,""target"":{""file"":""include/BASE/dialog.h"",""enum"":""DialogButtonId"",""name"":""DIALOG_BUTTON_6""},""reason"":""Reserved button ID carried unchanged by window records, widget selection and modal results.""},{""name"":""NORMAL_DIALOG_BUTTON_SEVEN"",""retail"":30727,""strict"":30727,""target"":{""file"":""include/BASE/dialog.h"",""enum"":""DialogButtonId"",""name"":""DIALOG_BUTTON_7""},""reason"":""Reserved button ID carried unchanged by window records, widget selection and modal results.""},{""name"":""NORMAL_DIALOG_BUTTON_EIGHT"",""retail"":30728,""strict"":30728,""target"":{""file"":""include/BASE/dialog.h"",""enum"":""DialogButtonId"",""name"":""DIALOG_BUTTON_8""},""reason"":""Reserved button ID carried unchanged by window records, widget selection and modal results.""}]"
include/SOURCE/KB.h	CheckEndGameForcedResult	262	3	3	0	End-game outcomes, high-score format, Windows menu commands, wait states, startup policies and text storage remain separate; shared capacities and modal IDs are reused.	"[{""name"":""END_GAME_FORCE_NONE"",""retail"":0,""strict"":0},{""name"":""END_GAME_FORCE_VICTORY"",""retail"":1,""strict"":1},{""name"":""END_GAME_FORCE_DEFEAT"",""retail"":2,""strict"":2}]"
include/SOURCE/KB.h	HighScoreConstant	268	9	9	0	End-game outcomes, high-score format, Windows menu commands, wait states, startup policies and text storage remain separate; shared capacities and modal IDs are reused.	"[{""name"":""HIGH_SCORE_ENTRY_COUNT"",""retail"":10,""strict"":10},{""name"":""HIGH_SCORE_NAME_LENGTH"",""retail"":16,""strict"":16},{""name"":""HIGH_SCORE_PLAYER_NAME_SIZE"",""retail"":17,""strict"":17},{""name"":""HIGH_SCORE_SCENARIO_NAME_SIZE"",""retail"":41,""strict"":41},{""name"":""HIGH_SCORE_RESERVED_SIZE"",""retail"":29,""strict"":29},{""name"":""HIGH_SCORE_EMPTY"",""retail"":-1,""strict"":-1},{""name"":""HIGH_SCORE_FILE_READ_FLAGS"",""retail"":32768,""strict"":32768},{""name"":""HIGH_SCORE_FILE_WRITE_FLAGS"",""retail"":33537,""strict"":33537},{""name"":""HIGH_SCORE_FILE_PERMISSIONS"",""retail"":128,""strict"":128}]"
include/SOURCE/KB.h	AppMenuCommand	293	46	46	0	End-game outcomes, high-score format, Windows menu commands, wait states, startup policies and text storage remain separate; shared capacities and modal IDs are reused.	"[{""name"":""APP_MENU_NONE"",""retail"":0,""strict"":0},{""name"":""APP_MENU_VIEW_WORLD"",""retail"":40012,""strict"":40012},{""name"":""APP_MENU_VIEW_PUZZLE"",""retail"":40013,""strict"":40013},{""name"":""APP_MENU_CAST_SPELL"",""retail"":40014,""strict"":40014},{""name"":""APP_MENU_SEARCH"",""retail"":40015,""strict"":40015},{""name"":""APP_MENU_MUSIC_FIRST"",""retail"":40016,""strict"":40016},{""name"":""APP_MENU_MUSIC_LAST"",""retail"":40026,""strict"":40026},{""name"":""APP_MENU_SOUND_FIRST"",""retail"":40028,""strict"":40028},{""name"":""APP_MENU_SOUND_LAST"",""retail"":40038,""strict"":40038},{""name"":""APP_MENU_SPEED_FIRST"",""retail"":40040,""strict"":40040},{""name"":""APP_MENU_SPEED_LAST"",""retail"":40044,""strict"":40044},{""name"":""APP_MENU_UNKNOWN_9C6D"",""retail"":40045,""strict"":40045},{""name"":""APP_MENU_TOGGLE_ROUTE"",""retail"":40046,""strict"":40046},{""name"":""APP_MENU_TOGGLE_BLACKOUT"",""retail"":40047,""strict"":40047},{""name"":""APP_MENU_RESTART_0"",""retail"":40102,""strict"":40102},{""name"":""APP_MENU_RESTART_1"",""retail"":40104,""strict"":40104},{""name"":""APP_MENU_RESTART_2"",""retail"":40105,""strict"":40105},{""name"":""APP_MENU_RESTART_3"",""retail"":40106,""strict"":40106},{""name"":""APP_MENU_RESTART_4"",""retail"":40107,""strict"":40107},{""name"":""APP_MENU_UNKNOWN_9CAD"",""retail"":40109,""strict"":40109},{""name"":""APP_MENU_RESTART_5"",""retail"":40110,""strict"":40110},{""name"":""APP_MENU_RESTART_6"",""retail"":40111,""strict"":40111},{""name"":""APP_MENU_RESTART_7"",""retail"":40112,""strict"":40112},{""name"":""APP_MENU_RESTART_8"",""retail"":40114,""strict"":40114},{""name"":""APP_MENU_RESTART_9"",""retail"":40115,""strict"":40115},{""name"":""APP_MENU_RESTART_10"",""retail"":40117,""strict"":40117},{""name"":""APP_MENU_RESTART_11"",""retail"":40118,""strict"":40118},{""name"":""APP_MENU_RESTART_12"",""retail"":40120,""strict"":40120},{""name"":""APP_MENU_RESTART_13"",""retail"":40121,""strict"":40121},{""name"":""APP_MENU_LOAD_0"",""retail"":40123,""strict"":40123},{""name"":""APP_MENU_LOAD_1"",""retail"":40124,""strict"":40124},{""name"":""APP_MENU_LOAD_2"",""retail"":40127,""strict"":40127},{""name"":""APP_MENU_LOAD_3"",""retail"":40128,""strict"":40128},{""name"":""APP_MENU_LOAD_4"",""retail"":40129,""strict"":40129},{""name"":""APP_MENU_LOAD_5"",""retail"":40131,""strict"":40131},{""name"":""APP_MENU_LOAD_6"",""retail"":40132,""strict"":40132},{""name"":""APP_MENU_LOAD_7"",""retail"":40134,""strict"":40134},{""name"":""APP_MENU_LOAD_8"",""retail"":40135,""strict"":40135},{""name"":""APP_MENU_LOAD_9"",""retail"":40137,""strict"":40137},{""name"":""APP_MENU_LOAD_10"",""retail"":40138,""strict"":40138},{""name"":""APP_MENU_SAVE"",""retail"":40139,""strict"":40139},{""name"":""APP_MENU_EXIT"",""retail"":40140,""strict"":40140},{""name"":""APP_MENU_CHEAT_REVEAL"",""retail"":40141,""strict"":40141},{""name"":""APP_MENU_CHEAT_MOVEMENT"",""retail"":40142,""strict"":40142},{""name"":""APP_MENU_CHEAT_SPELLS"",""retail"":40143,""strict"":40143},{""name"":""APP_MENU_CHEAT_RESOURCES"",""retail"":40144,""strict"":40144}]"
include/SOURCE/KB.h	DialogWaitType	342	14	14	0	End-game outcomes, high-score format, Windows menu commands, wait states, startup policies and text storage remain separate; shared capacities and modal IDs are reused.	"[{""name"":""DIALOG_WAIT_OTHER_PLAYER"",""retail"":0,""strict"":0},{""name"":""DIALOG_WAIT_NETBIOS_GUEST"",""retail"":1,""strict"":1},{""name"":""DIALOG_WAIT_NETBIOS_HOST"",""retail"":2,""strict"":2},{""name"":""DIALOG_WAIT_NETBIOS_INIT_GUEST"",""retail"":3,""strict"":3},{""name"":""DIALOG_WAIT_NETBIOS_INIT_HOST"",""retail"":4,""strict"":4},{""name"":""DIALOG_WAIT_MODEM_COMMAND"",""retail"":5,""strict"":5},{""name"":""DIALOG_WAIT_MODEM_RESPONSE"",""retail"":6,""strict"":6},{""name"":""DIALOG_WAIT_DIRECT_CONNECT"",""retail"":7,""strict"":7},{""name"":""DIALOG_WAIT_DIRECTPLAY_FIRST_GUEST"",""retail"":8,""strict"":8},{""name"":""DIALOG_WAIT_DIRECTPLAY_GUESTS"",""retail"":9,""strict"":9},{""name"":""DIALOG_WAIT_DIRECTPLAY_HOST"",""retail"":10,""strict"":10},{""name"":""DIALOG_WAIT_WINSOCK_FIRST_GUEST"",""retail"":11,""strict"":11},{""name"":""DIALOG_WAIT_WINSOCK_GUESTS"",""retail"":12,""strict"":12},{""name"":""DIALOG_WAIT_WINSOCK_HOST"",""retail"":13,""strict"":13}]"
include/SOURCE/KB.h	OldMainConstant	359	36	33	3	End-game outcomes, high-score format, Windows menu commands, wait states, startup policies and text storage remain separate; shared capacities and modal IDs are reused.	"[{""name"":""OLD_MAIN_MATCH_BUFFER_SIZE"",""retail"":8,""strict"":8},{""name"":""OLD_MAIN_PLAYER_NAME_LENGTH"",""retail"":21,""strict"":21},{""name"":""OLD_MAIN_DEFAULT_NAME_LENGTH"",""retail"":3,""strict"":3},{""name"":""OLD_MAIN_DEFAULT_NAME_STRIDE"",""retail"":4,""strict"":4},{""name"":""OLD_MAIN_SCREEN_WIDTH"",""retail"":640,""strict"":640,""target"":{""file"":""include/BASE/display.h"",""enum"":""LogicalScreenConstant"",""name"":""LOGICAL_SCREEN_WIDTH""},""reason"":""Same fixed logical framebuffer dimension or inclusive framebuffer bound.""},{""name"":""OLD_MAIN_SCREEN_HEIGHT"",""retail"":480,""strict"":480,""target"":{""file"":""include/BASE/display.h"",""enum"":""LogicalScreenConstant"",""name"":""LOGICAL_SCREEN_HEIGHT""},""reason"":""Same fixed logical framebuffer dimension or inclusive framebuffer bound.""},{""name"":""OLD_MAIN_MAIN_MUSIC"",""retail"":42,""strict"":42},{""name"":""OLD_MAIN_HIGH_SCORE_MUSIC"",""retail"":43,""strict"":43},{""name"":""OLD_MAIN_FADE_SPEED"",""retail"":8,""strict"":8},{""name"":""OLD_MAIN_LONG_FADE_SPEED"",""retail"":128,""strict"":128},{""name"":""OLD_MAIN_DEBUG_MEMORY_CHECK_LEVEL"",""retail"":9,""strict"":9},{""name"":""OLD_MAIN_INTRO_PUBLISHER_VIDEO"",""retail"":73,""strict"":73},{""name"":""OLD_MAIN_INTRO_PRIMARY_VIDEO"",""retail"":66,""strict"":66},{""name"":""OLD_MAIN_INTRO_FALLBACK_VIDEO"",""retail"":1,""strict"":1},{""name"":""OLD_MAIN_INTRO_SECONDARY_VIDEO"",""retail"":65,""strict"":65},{""name"":""OLD_MAIN_CREDITS_FIRST_VIDEO"",""retail"":72,""strict"":72},{""name"":""OLD_MAIN_CREDITS_SECOND_VIDEO"",""retail"":36,""strict"":36},{""name"":""OLD_MAIN_CREDITS_THIRD_VIDEO"",""retail"":74,""strict"":74},{""name"":""OLD_MAIN_STANDARD_VICTORY_VIDEO"",""retail"":3,""strict"":3},{""name"":""OLD_MAIN_EXPANSION_VICTORY_VIDEO"",""retail"":64,""strict"":64},{""name"":""OLD_MAIN_NEW_GAME"",""retail"":101,""strict"":101},{""name"":""OLD_MAIN_LOAD_GAME"",""retail"":102,""strict"":102},{""name"":""OLD_MAIN_HIGH_SCORES"",""retail"":103,""strict"":103},{""name"":""OLD_MAIN_CREDITS"",""retail"":104,""strict"":104},{""name"":""OLD_MAIN_EXIT"",""retail"":105,""strict"":105},{""name"":""OLD_MAIN_SETUP_NEW"",""retail"":0,""strict"":0},{""name"":""OLD_MAIN_SETUP_LOAD"",""retail"":1,""strict"":1},{""name"":""OLD_MAIN_REGULAR_COMPRESSION_MEMORY_LIMIT"",""retail"":6000,""strict"":6000},{""name"":""OLD_MAIN_NET_BUFFER_SIZE"",""retail"":256,""strict"":256},{""name"":""OLD_MAIN_NETWORK_PACKET"",""retail"":32,""strict"":32},{""name"":""OLD_MAIN_ARCHIBALD_FINAL_SCENARIO"",""retail"":10,""strict"":10},{""name"":""OLD_MAIN_ROLAND_FINAL_SCENARIO"",""retail"":9,""strict"":9},{""name"":""OLD_MAIN_ARCHIBALD_FINAL_SCENARIO_NUMBER"",""retail"":11,""strict"":11},{""name"":""OLD_MAIN_ROLAND_FINAL_SCENARIO_NUMBER"",""retail"":10,""strict"":10},{""name"":""OLD_MAIN_DIALOG_WAIT"",""retail"":6,""strict"":6},{""name"":""OLD_MAIN_REMOTE_PAYLOAD_SIZE"",""retail"":247,""strict"":247,""target"":{""file"":""include/SOURCE/REMOTE_TYPES.h"",""enum"":""RemoteMessageLayoutConstant"",""name"":""REMOTE_MESSAGE_PAYLOAD_SIZE""},""reason"":""Same owner storage/index, selected asset, encoded field or gameplay rule: REMOTE_MESSAGE_PAYLOAD_SIZE.""}]"
include/SOURCE/KB.h	AppMenuConstant	430	26	23	3	End-game outcomes, high-score format, Windows menu commands, wait states, startup policies and text storage remain separate; shared capacities and modal IDs are reused.	"[{""name"":""APP_MENU_CHECKED"",""retail"":8,""strict"":8},{""name"":""APP_MENU_UNCHECKED"",""retail"":0,""strict"":0},{""name"":""APP_MENU_CONFIRM_DIALOG"",""retail"":2,""strict"":2},{""name"":""APP_MENU_CONFIRM_OK"",""retail"":30725,""strict"":30725,""target"":{""file"":""include/BASE/dialog.h"",""enum"":""DialogButtonId"",""name"":""DIALOG_BUTTON_5""},""reason"":""Reserved button ID carried unchanged by window records, widget selection and modal results.""},{""name"":""APP_MENU_REVEAL_SIZE"",""retail"":30,""strict"":30},{""name"":""APP_MENU_REVEAL_RADIUS"",""retail"":180,""strict"":180},{""name"":""APP_MENU_MAX_SPELLS"",""retail"":65,""strict"":65,""target"":{""file"":""include/SOURCE/KB_TYPES.h"",""enum"":""SpellType"",""name"":""SPELL_COUNT""},""reason"":""Extent is indexed by this existing semantic domain: SPELL_COUNT.""},{""name"":""APP_MENU_SPELL_COUNT"",""retail"":10,""strict"":10},{""name"":""APP_MENU_RESOURCE_COUNT"",""retail"":7,""strict"":7},{""name"":""APP_MENU_RESOURCE_BONUS"",""retail"":10,""strict"":10},{""name"":""APP_MENU_GOLD_BONUS"",""retail"":1000,""strict"":1000},{""name"":""APP_MENU_MOVEMENT_BONUS"",""retail"":299999,""strict"":299999},{""name"":""APP_MENU_CHEAT_SPELL_POINTS"",""retail"":999,""strict"":999},{""name"":""APP_MENU_CHEAT_ARMY_QUANTITY"",""retail"":5,""strict"":5},{""name"":""APP_MENU_CLOSE_MESSAGE"",""retail"":16,""strict"":16},{""name"":""APP_MENU_ARMY_FIRST"",""retail"":41000,""strict"":41000},{""name"":""APP_MENU_ARMY_LAST"",""retail"":41066,""strict"":41066},{""name"":""APP_MENU_SECONDARY_FIRST"",""retail"":42000,""strict"":42000},{""name"":""APP_MENU_SECONDARY_LAST"",""retail"":42056,""strict"":42056},{""name"":""APP_MENU_SECONDARY_LEVELS"",""retail"":4,""strict"":4,""target"":{""file"":""include/SOURCE/hero.h"",""enum"":""HeroSkillLevel"",""name"":""HERO_SKILL_LEVEL_COUNT""},""reason"":""Same skill-level radix including the absent level.""},{""name"":""APP_MENU_BUILDING_FIRST"",""retail"":43000,""strict"":43000},{""name"":""APP_MENU_BUILDING_LAST"",""retail"":43101,""strict"":43101},{""name"":""APP_MENU_COMBAT_FIRST"",""retail"":44000,""strict"":44000},{""name"":""APP_MENU_COMBAT_LAST"",""retail"":44200,""strict"":44200},{""name"":""APP_MENU_COMBAT_HEX_COUNT"",""retail"":117,""strict"":117},{""name"":""APP_MENU_FORMATION_HEX_COUNT"",""retail"":15,""strict"":15}]"
include/SOURCE/KB.h	NetBoxConstant	459	1	1	0	End-game outcomes, high-score format, Windows menu commands, wait states, startup policies and text storage remain separate; shared capacities and modal IDs are reused.	"[{""name"":""NET_BOX_LINE_SIZE"",""retail"":140,""strict"":140}]"
include/SOURCE/KB.h	Cp1251CaseConstant	472	7	7	0	CP1251 case bytes have one owner. Map-extra adjacency bits are not palette or map-trigger flags.	"[{""name"":""CYRILLIC_CASE_OFFSET"",""retail"":32,""strict"":32},{""name"":""CYRILLIC_CAPITAL_YO"",""retail"":168,""strict"":168},{""name"":""CYRILLIC_SMALL_YO"",""retail"":184,""strict"":184},{""name"":""CYRILLIC_CAPITAL_A"",""retail"":192,""strict"":192},{""name"":""CYRILLIC_CAPITAL_YA"",""retail"":223,""strict"":223},{""name"":""CYRILLIC_SMALL_A"",""retail"":224,""strict"":224},{""name"":""CYRILLIC_SMALL_YA"",""retail"":255,""strict"":255}]"
include/SOURCE/KB.h	MapExtraFlag	714	2	2	0	CP1251 case bytes have one owner. Map-extra adjacency bits are not palette or map-trigger flags.	"[{""name"":""MAP_EXTRA_ADJACENT_MONSTER"",""retail"":128,""strict"":128},{""name"":""MAP_EXTRA_ADJACENT_CLEAR_MASK"",""retail"":127,""strict"":127}]"
include/SOURCE/KB_TYPES.h	BottomViewMode	9	7	7	0	View modes, score-file kinds, portrait IDs, resources, directions and coordinate axes are distinct. Remove redundant no-resource spelling; retain explicit domain bounds.	"[{""name"":""BOTTOM_VIEW_NONE"",""retail"":0,""strict"":0},{""name"":""BOTTOM_VIEW_NEW_TURN"",""retail"":1,""strict"":1},{""name"":""BOTTOM_VIEW_KINGDOM"",""retail"":2,""strict"":2},{""name"":""BOTTOM_VIEW_HERO"",""retail"":3,""strict"":3},{""name"":""BOTTOM_VIEW_ENEMY_TURN"",""retail"":4,""strict"":4},{""name"":""BOTTOM_VIEW_RESOURCE"",""retail"":5,""strict"":5},{""name"":""BOTTOM_VIEW_OVERRIDE_DISABLED"",""retail"":6,""strict"":6}]"
