# Buka VA claim queue, harvested from branch decomp-gold-2.1-buka-attempt-1 (its NEW_VA markers).
# Every row is a remap CLAIM from the previous attempt: the function's
# PoL-line reconstruction (pol_va) was located at buka_rva in this image.
# inventory compares against config/retail_functions.csv byte_size:
#   exact = Ghidra agrees on entry+size; size-differs:<n> = entry agrees,
#   size does not; absent = Ghidra lists no function at that entry.
# Claim a row by porting the body and marking it VA(0x<va>, 0x<size>).
unit	buka_rva	size	inventory	pol_va	signature
BASE/Misc	0xc0050	0x44	exact	0x004c66a0	i32 IsCycleColor(i32 color)
BASE/Misc	0xc00a0	0x2a9	exact	0x004c66d0	void CreatePCXFile(char* filename, u8* pixels, i32 width, i32 height, u8* paletteData)
BASE/Misc	0xc0350	0x73	exact	0x004c68c0	i32l FileSize(char* filename)
BASE/Misc	0xc03d0	0x1e	exact	0x004c6920	struct IconEntry* GetIconEntry(class icon* iconPtr, i32 index)
BASE/Misc	0xc03f0	0x72	exact	0x004c6930	i32 SRandom(i32 low, i32 high)
BASE/Misc	0xc0470	0x92	exact	0x004c69f0	void SIncRandomize(i32 x, i32 y)
BASE/Misc	0xc0510	0x1f	exact	0x004c6a50	void SRand(i32 seed)
BASE/Misc	0xc0530	0x92	exact	0x004c6a60	i32 SGenRand(void)
BASE/Misc	0xc05d0	0x10	exact	0x004c6ab0	i32 MemSize(i32)
BASE/Misc	0xc05e0	0x464	exact	0x004c6ac0	void GetDataEntry(
BASE/Misc	0xc0a50	0x1fa	exact	0x004c6e50	MessageDispatchResult DataEntryWindowHandler(struct tag_message& message)
BASE/PALETTE	0xcaea0	0x6f	exact	0x004d2580	palette::palette(void) : resource(RESOURCE_CATEGORY_PALETTE, 0, RESOURCE_REFERENCE_INITIAL, NULL)
BASE/PALETTE	0xcaf40	0x99	exact	0x004d2600	palette::palette(u32l id)
BASE/PALETTE	0xcafe0	0x46	exact	0x004d2660	inline palette::~palette()
BASE/PALETTE	0xcb030	0x11	exact	0x004d2690	i8* palette::Data(void)
BASE/RESMGR	0xb7ee0	0xb8	exact	0x004c7fa0	resourceManager::resourceManager(void) : baseManager()
BASE/RESMGR	0xb7fa0	0x92	exact	0x004c8080	void resourceManager::GetBackdrop(char* name, class bitmap* backdrop, i32 useIcon)
BASE/RESMGR	0xb8040	0xc0	exact	0x004c8130	void resourceManager::GetBackdropAtLoc(
BASE/RESMGR	0xb8100	0xbf	exact	0x004c8210	class palette* resourceManager::GetPalette(char* name)
BASE/RESMGR	0xb81c0	0xbf	exact	0x004c82b0	class bitmap* resourceManager::GetBitmap(char* name)
BASE/RESMGR	0xb8280	0x24	exact	0x004c8350	class icon* resourceManager::GetIcon(char* name)
BASE/RESMGR	0xb82b0	0xae	exact	0x004c8380	class icon* resourceManager::GetIcon(u32l resourceId)
BASE/RESMGR	0xb8360	0xbf	exact	0x004c8410	class tileset* resourceManager::GetTileset(char* name)
BASE/RESMGR	0xb8420	0xf	exact	0x004c84b0	class mouse* resourceManager::GetMouse(char*)
BASE/RESMGR	0xb8430	0xbf	exact	0x004c84d0	class font* resourceManager::GetFont(char* name)
BASE/RESMGR	0xb84f0	0xbf	exact	0x004c8570	class sample* resourceManager::GetSample(char* name)
BASE/RESMGR	0xb85b0	0xbf	exact	0x004c8610	class MIDIWrap* resourceManager::GetMIDIWrap(char* name)
BASE/RESMGR	0xb8670	0x75	exact	0x004c86b0	void resourceManager::Dispose(class resource* resourceToDispose)
BASE/RESMGR	0xb86f0	0x43	exact	0x004c8740	void resourceManager::AddResource(class resource* newResource)
BASE/RESMGR	0xb8740	0x7e	exact	0x004c87a0	void resourceManager::Expunge(void)
BASE/RESMGR	0xb87c0	0x37	exact	0x004c8830	class resource* resourceManager::Query(u32l resourceId)
BASE/RESMGR	0xb8800	0xf	exact	0x004c8880	MessageDispatchResult resourceManager::Main(struct tag_message&)
BASE/RESMGR	0xb8810	0x7d	exact	0x004c88a0	i32 resourceManager::Open(i32 priority)
BASE/RESMGR	0xb8890	0x61	exact	0x004c8950	void resourceManager::RemoveResource(class resource* resourceToRemove)
BASE/RESMGR	0xb8900	0xaf	exact	0x004c89e0	void resourceManager::Close(void)
BASE/RESMGR	0xb89b0	0x138	exact	0x004c8ab0	i32 resourceManager::LoadAggregateHeader(char* aggregateName)
BASE/RESMGR	0xb8af0	0xf8	exact	0x004c8c00	void resourceManager::PointToFile(u32l fileId)
BASE/RESMGR	0xb8bf0	0xd6	exact	0x004c8d20	u32l resourceManager::GetFileSize(u32l fileId)
BASE/RESMGR	0xb8cd0	0x50	exact	0x004c8e20	void resourceManager::SavePosition(void)
BASE/RESMGR	0xb8d20	0x51	exact	0x004c8e80	void resourceManager::RestorePosition(void)
BASE/RESMGR	0xb8d80	0x59	exact	0x004c8ee0	i8 resourceManager::ReadByte(void)
BASE/RESMGR	0xb8de0	0x5c	exact	0x004c8f70	i16 resourceManager::ReadWord(void)
BASE/RESMGR	0xb8e40	0x5c	exact	0x004c9000	i32l resourceManager::ReadLong(void)
BASE/RESMGR	0xb8ea0	0xa0	exact	0x004c9090	u32l resourceManager::MakeId(char* name, i32 translate)
BASE/RESMGR	0xb8f40	0x1b	exact	0x004c9180	void resourceManager::Read13(i8* destination)
BASE/RESMGR	0xb8f60	0x9b	exact	0x004c91b0	void resourceManager::ReadBlock(i8* destination, u32l size)
BASE/RESOURCE	0xd4860	0x3d	exact	0x004d9730	resource::resource(void)
BASE/RESOURCE	0xd48a0	0x41	exact	0x004d9750	resource::resource(ResourceCategory category, u32l id, i16 refCount, resource* next)
BASE/RESOURCE	0xd48f0	0x14	exact	0x004d9780	resource::~resource() {}
BASE/Ripple	0xcb6b0	0x35e	exact	0x004d26a0	void DoRipple(bitmap* source, bitmap* destination, i32 height, i32 strength)
BASE/SAMPLE	0xce250	0x1b7	exact	0x004dad60	sample::sample(char* name, i32l, i32l, i32l)
BASE/SAMPLE	0xce490	0x8b	exact	0x004daf40	inline sample::~sample()
BASE/SAMPLE	0xce520	0xbd	exact	0x004daf70	MIDIWrap::MIDIWrap(char* name)
BASE/SAMPLE	0xce610	0x3d	exact	0x004db030	inline MIDIWrap::~MIDIWrap()
BASE/TEXTWDGT	0xc2f50	0x58	exact	0x004d1060	textWidget::textWidget(void) : widget(0, 0, 0, 0, 0, WIDGET_KIND_NONE)
BASE/TEXTWDGT	0xc2fe0	0xa7	exact	0x004d10f0	textWidget::textWidget(
BASE/TEXTWDGT	0xc3090	0x12f	exact	0x004d1160	void textWidget::Read(void)
BASE/TEXTWDGT	0xc31c0	0x72	exact	0x004d1250	inline textWidget::~textWidget()
BASE/TEXTWDGT	0xc3240	0x226	exact	0x004d1280	MessageDispatchResult textWidget::Main(tag_message& msg)
BASE/TEXTWDGT	0xc3470	0x82	exact	0x004d1490	void textWidget::Draw(void)
BASE/TEXTWDGT	0xc3500	0x18	exact	0x004d14e0	void textWidget::SetColorIndex(H2_ENUM_PARAM(FontDrawMode, i16) color)
BASE/TEXTWDGT	0xc3520	0xae	exact	0x004d14f0	void textWidget::SetText(char* text)
BASE/TILE	0xc2554	0x18a	exact	0x004d310c	extern "C" __declspec(naked) void __cdecl
BASE/TILESET	0xce090	0xf1	exact	0x004dac60	tileset::tileset(u32l id)
BASE/TILESET	0xce1c0	0x33	exact	0x004dad30	inline tileset::~tileset()
BASE/Textntry	0xd1cc0	0x56	exact	0x004d8740	textEntryWidget::textEntryWidget(void) : textWidget()
BASE/Textntry	0xd1d50	0x1ac	exact	0x004d87b0	textEntryWidget::textEntryWidget(
BASE/Textntry	0xd1f00	0x5b	exact	0x004d88f0	inline textEntryWidget::~textEntryWidget()
BASE/Textntry	0xd1f60	0x335	exact	0x004d8920	void textEntryWidget::Read(H2_ENUM_PARAM(TextEntryReadMode, i32) type)
BASE/Textntry	0xd22a0	0xa85	exact	0x004d8b90	MessageDispatchResult textEntryWidget::Main(struct tag_message& message)
BASE/Textntry	0xd2dc0	0x253	exact	0x004d9410	void textEntryWidget::Draw(void)
BASE/Textntry	0xd3020	0x29a	exact	0x004d9570	void textEntryWidget::SetupDisplayString(char* source, u16 cursor)
BASE/WIDGET	0xd4010	0x8b	exact	0x004dde00	widget::widget(
BASE/WIDGET	0xd40a0	0x7d	exact	0x004dde60	widget::widget(void)
BASE/WIDGET	0xd4120	0x14	exact	0x004ddea0	widget::~widget() {}
BASE/WIDGET	0xd4140	0x23	exact	0x004ddeb0	i32 widget::Open(i32 zOrder, class heroWindow* owner)
BASE/WIDGET	0xd4170	0xb	exact	0x004dded0	void widget::Close(void) {}
BASE/WIDGET	0xd4180	0x35d	exact	0x004ddee0	MessageDispatchResult widget::Main(tag_message& message)
BASE/WIDGET	0xd4540	0x7e	exact	0x004de1e0	void widget::Dim(void)
BASE/WINDOW	0xba5c0	0x99	exact	0x004ceb70	heroWindow::heroWindow(void)
BASE/WINDOW	0xba660	0x96	exact	0x004cec20	heroWindow::heroWindow(
BASE/WINDOW	0xba700	0x6aa	exact	0x004cecd0	heroWindow::heroWindow(i32 x, i32 y, char* resourceName)
BASE/WINDOW	0xbae20	0x66	exact	0x004cf200	i32 heroWindow::Open(i32 x, i32 flags)
BASE/WINDOW	0xbae90	0x82	exact	0x004cf280	void heroWindow::RemoveAndDeleteWidget(i32 id)
BASE/WINDOW	0xbaf20	0xa0	exact	0x004cf310	void heroWindow::Close(void)
BASE/WINDOW	0xbafc0	0x109	exact	0x004cf3c0	void heroWindow::AddWidget(class widget* newWidget, i32 zOrder)
BASE/WINDOW	0xbb0d0	0xe7	exact	0x004cf500	void heroWindow::RemoveWidget(class widget* w)
BASE/WINDOW	0xbb1c0	0x5e	exact	0x004cf620	MessageDispatchResult heroWindow::BroadcastMessage(struct tag_message& message)
BASE/WINDOW	0xbb220	0x15	exact	0x004cf6c0	void heroWindow::DrawWindow(void)
BASE/WINDOW	0xbb240	0x23	exact	0x004cf6e0	void heroWindow::DrawWindow(i32 flags)
BASE/WINDOW	0xbb270	0xed	exact	0x004cf710	void heroWindow::DrawWindow(i32 update, i32 firstId, i32 lastId)
BASE/WINDOW	0xbb360	0xa9	exact	0x004cf830	i32 heroWindow::SaveBackground(void)
BASE/WINDOW	0xbb410	0x8f	exact	0x004cf8b0	void heroWindow::RestoreBackground(void)
BASE/WINDOW	0xbb4a0	0x175	exact	0x004cf950	void heroWindow::MoveWindow(i32 dx, i32 dy)
BASE/WINMGR	0xb6b80	0x3ff	exact	0x004ca6d0	void CycleColors(i32 forceUpdate)
BASE/WINMGR	0xb6f80	0x97	exact	0x004caa80	heroWindowManager::heroWindowManager(void) : baseManager()
BASE/WINMGR	0xb7020	0x12e	exact	0x004caad0	i32 heroWindowManager::Open(i32 managerOrder)
BASE/WINMGR	0xb7150	0x91	exact	0x004cabb0	void heroWindowManager::Close(void)
BASE/WINMGR	0xb71f0	0x5b	exact	0x004cac00	MessageDispatchResult heroWindowManager::Main(struct tag_message& msg)
BASE/WINMGR	0xb7250	0x1c	exact	0x004cac30	MessageDispatchResult heroWindowManager::ConvertToHover(struct tag_message& msg)
BASE/WINMGR	0xb7270	0x36	exact	0x004cac40	MessageDispatchResult
BASE/WINMGR	0xb72b0	0x142	exact	0x004cac80	void heroWindowManager::AddWindow(class heroWindow* w, i32 zOrder, i32 openFlags)
BASE/WINMGR	0xb7400	0xe9	exact	0x004cad40	void heroWindowManager::RemoveWindow(class heroWindow* w)
BASE/WINMGR	0xb74f0	0x199	exact	0x004cadd0	i32 heroWindowManager::DoDialog(
BASE/WINMGR	0xb7690	0x20	exact	0x004cafa0	void heroWindowManager::UpdateScreen(void)
BASE/WINMGR	0xb76b0	0x58	exact	0x004cafc0	void heroWindowManager::UpdateScreenRegion(i32 x, i32 y, i32 w, i32 h)
BASE/WINMGR	0xb7710	0x2f	exact	0x004cb010	void heroWindowManager::RedrawScreen(void)
BASE/WINMGR	0xb7740	0x8f	exact	0x004cb030	void heroWindowManager::FadeScreen(WindowFadeMode direction, i32 steps, class palette* pal)
BASE/WINMGR	0xb77d0	0x63	exact	0x004cb0b0	void heroWindowManager::ScreenShot(void)
BASE/WINMGR	0xb7840	0x159	exact	0x004cb110	void heroWindowManager::SaveFizzleSource(i32 x, i32 y, i32 width, i32 height)
BASE/WINMGR	0xb79a0	0x5	exact	0x004cb1d0	void CreateFizzleTables(void) {}
BASE/WINMGR	0xb79b0	0x46d	exact	0x004cb1e0	void heroWindowManager::FizzleForward(
BASE/WINMGR	0xb7e20	0x4d	exact	0x004cb5f0	void heroWindowManager::ReleaseFizzleSource(void)
BASE/WINMGR	0xb7e70	0x5	exact	0x004cb610	void CreateColorTables(void) {}
BASE/WINMGR	0xb7e80	0x5	exact	0x004cb620	void CreateColorLookupTables(void) {}
BASE/bmap2	0xc6450	0x82	exact	0x004ca3d0	void FillBitmapArea(class bitmap* bmp, i32 x, i32 y, i32 w, i32 h, i32 color)
BASE/bmap2	0xc64e0	0xee	exact	0x004ca450	void FillBitmapAreaClip(
BASE/bmap2	0xc65d0	0xb7	exact	0x004ca570	void BlitBitmap(
BASE/bmap2	0xc6690	0xcd	exact	0x004ca620	void DimBitmapArea(class bitmap* bmp, i32 x, i32 y, i32 w, i32 h, i32 level)
BASE/droplist	0xcfdb0	0x54	exact	0x004dbf00	dropListWidget::dropListWidget(void) : widget(0, 0, 0, 0, 0, WIDGET_KIND_NONE)
BASE/droplist	0xcfe40	0xfb	exact	0x004dbf60	dropListWidget::~dropListWidget()
BASE/droplist	0xcff40	0x2f8	exact	0x004dbfe0	void dropListWidget::Read(void)
BASE/droplist	0xd0240	0x139	exact	0x004dc200	void dropListWidget::DeleteItem(i32 index)
BASE/droplist	0xd0380	0x417	exact	0x004dc2e0	MessageDispatchResult dropListWidget::Main(tag_message& message)
BASE/droplist	0xd07b0	0x11c	exact	0x004dc630	void dropListWidget::Draw(void)
BASE/droplist	0xd08d0	0x58f	exact	0x004dc6e0	void dropListWidget::DrawDropStuff(void)
BASE/droplist	0xd0e60	0xa6	exact	0x004dca60	void dropListWidget::SaveDropBackground(void)
BASE/droplist	0xd0f10	0x96	exact	0x004dcab0	void dropListWidget::RestoreDropBackground(void)
BASE/droplist	0xd0fb0	0xc62	exact	0x004dcb10	void dropListWidget::ProcessSelectDialog(void)
BASE/icon2bc	0xc0ca0	0x7cf	exact	0x004d32a0	void IconToBitmapColorTable(
BASE/icon2bs	0xcc4e0	0x209	exact	0x004d2f90	void IconToBitmapScale(
BASE/iconf2bc	0xd4960	0x8bb	exact	0x004d9790	void FlipIconToBitmapColorTable(
BASE/listbox	0xce6a0	0x5d	exact	0x004db060	listBoxWidget::listBoxWidget(void) : widget(0, 0, 0, 0, 0, WIDGET_KIND_NONE)
BASE/listbox	0xce730	0x105	exact	0x004db0d0	listBoxWidget::~listBoxWidget()
BASE/listbox	0xce840	0x41c	exact	0x004db160	void listBoxWidget::Read(void)
BASE/listbox	0xcec60	0x1f1	exact	0x004db3d0	void listBoxWidget::DeleteItem(i32 index)
BASE/listbox	0xcee60	0x474	exact	0x004db520	MessageDispatchResult listBoxWidget::Main(tag_message& message)
BASE/listbox	0xcf2f0	0x15	exact	0x004db890	void listBoxWidget::Draw(void)
BASE/listbox	0xcf310	0x54e	exact	0x004db8a0	void listBoxWidget::DrawLBStuff(i32 doUpdate)
BASE/listbox	0xcf860	0x4f2	exact	0x004dbbe0	MessageDispatchResult listBoxWidget::ProcessMouseMessage(tag_message& message)
BASE/miscwin	0xd4610	0x1e6	exact	0x004d8540	extern "C" void __fastcall BlitBitmapToScreenVesa(
BASE/miscwin	0xd4800	0x8	exact	0x004d8730	i16 AutoInitSVGA(void)
BASE/soundmgr	0xb5710	0x101	exact		void soundManager::ShutdownSoundBackends(void)
BASE/soundmgr	0xb5820	0x18f	exact		bool soundManager::StartupMilesBackend(void)
BASE/soundmgr	0xb59b0	0x123	exact	0x004cb970	bool soundManager::CDStartup(void)
BASE/soundmgr	0xb5ae0	0xb1	exact	0x004cc1c0	i32 soundManager::ConvertVolume(i32 volume, SoundVolumeConversionMode soundType)
BASE/soundmgr	0xb5ba0	0x2b	exact		float soundManager::ConvertVolumeFloat(i32 volume, SoundVolumeConversionMode soundType)
BASE/soundmgr	0xb5bd0	0x146	exact	0x004cc330	soundManager::soundManager(void) : baseManager()
BASE/soundmgr	0xb5d20	0x2df	exact	0x004cc560	i32 soundManager::Open(i32)
BASE/soundmgr	0xb6000	0x28	exact	0x004cc9b0	void soundManager::Close(void)
BASE/soundmgr	0xb6030	0xf	exact	0x004cca50	MessageDispatchResult soundManager::Main(struct tag_message&)
BASE/soundmgr	0xb6040	0xcb	exact	0x004cca90	void soundManager::StopAllSamples(i32 stopMusic)
BASE/soundmgr	0xb6110	0x8a	exact	0x004ccbc0	void soundManager::StopSample(class sample* sampleResource)
BASE/soundmgr	0xb61a0	0xa1	exact	0x004ccc80	void soundManager::ModifySample(
BASE/soundmgr	0xb6250	0x8e	exact	0x004cce90	i32 soundManager::DigitalReport(class sample* sampleResource)
BASE/soundmgr	0xb62e0	0x4d	exact	0x004ccf40	void soundManager::AdjustSoundVolumes(void)
BASE/soundmgr	0xb6330	0xad	exact	0x004cd030	void soundManager::AdjustMusicVolumes(void)
BASE/soundmgr	0xb63e0	0xef	exact	0x004cd160	void soundManager::SetMusicQuality(i32 musicSource)
BASE/soundmgr	0xb64d0	0x106	exact	0x004cd250	void soundManager::PlayAmbientMusic(i32 track)
BASE/soundmgr	0xb65e0	0x227	exact	0x004cd320	void soundManager::PollSound(void)
BASE/soundmgr	0xb6810	0xbb	exact	0x004cd6b0	void soundManager::SwitchAmbientMusic(i32 track)
BASE/soundmgr	0xb68d0	0x115	exact	0x004cd7f0	void soundManager::MemorySample(class sample* sampleResource)
BASE/soundmgr	0xb69f0	0x41	exact	0x004cdaa0	void soundManager::ServiceSound(void)
BASE/soundmgr	0xb6a40	0x49	exact	0x004cdad0	i32 soundManager::MusicPlaying(void)
EDITOR/mapcell	0x72050	0x2b	exact	0x0040b070	fullMap::fullMap(void)
EDITOR/mapcell	0x7207b	0x13	exact	0x0040b0a6	fullMap::~fullMap(void)
EDITOR/mapcell	0x7208e	0x64	exact	0x0040b0c4	void fullMap::Close(void)
EDITOR/mapcell	0x720f2	0x4d	exact	0x0040b145	void fullMap::Init(i32 w, i32 h)
EDITOR/mapcell	0x7213f	0x151	exact	0x0040b198	void fullMap::ClearCellExtra(i32 index)
EDITOR/mapcell	0x72290	0x113	exact	0x0040b266	i32 fullMap::GetNewCellExtraIndex(void)
EDITOR/mapcell	0x723a3	0x165	exact	0x0040b396	mapCellExtra* fullMap::GetNewCellExtraOverlay(i32 x, i32 y)
EDITOR/mapcell	0x72508	0x165	exact	0x0040b569	mapCellExtra* fullMap::GetNewCellExtraObject(i32 x, i32 y)
EDITOR/mapcell	0x7266d	0x8c	exact	0x0040b73c	void fullMap::Write(i32 handle)
EDITOR/mapcell	0x726f9	0x258	exact	0x0040b7da	void fullMap::Read(i32 handle, i32 convert)
EDITOR/mapcell	0x72951	0x314	exact	0x0040ba6f	void fullMap::ChangeTilesetIndex(
SOURCE/ADVMGR	0x1000	0x2f2	exact	0x00456350	advManager::advManager(void)
SOURCE/ADVMGR	0x12f2	0x955	exact	0x0045665f	i32 advManager::Open(i32 id)
SOURCE/ADVMGR	0x1c47	0x3b8	exact	0x00457028	void advManager::Close(void)
SOURCE/ADVMGR	0x1fff	0xd8	exact	0x00457432	void advManager::GetCursorSampleSet(ConfigWalkSpeed sampleSet)
SOURCE/ADVMGR	0x20d7	0x581	exact	0x0045751b	class mapCell* advManager::DoAdvCommand(void)
SOURCE/ADVMGR	0x2674	0x15b	exact	0x00457bdb	void advManager::CheckSetEvilInterface(i32 redraw, i32 player)
SOURCE/ADVMGR	0x27cf	0xd07	exact	0x00457d6c	MessageDispatchResult advManager::Main(struct tag_message& message)
SOURCE/ADVMGR	0x35d2	0x17	exact	0x00458d46	void advManager::Reseed(i32, i32)
SOURCE/ADVMGR	0x35e9	0xc85	exact	0x00458d68	MessageDispatchResult
SOURCE/ADVMGR	0x4308	0x33e	exact	0x00459c19	MessageDispatchResult advManager::ProcessDeSelect(
SOURCE/ADVMGR	0x4692	0x518	exact	0x0045a07c	i32 advManager::ProcessSearch(i32 x, i32 y)
SOURCE/ADVMGR	0x4baa	0x909	exact	0x0045a644	MessageDispatchResult advManager::ProcessHover(i32 mouseX, i32 mouseY)
SOURCE/ADVMGR	0x54df	0x239	exact	0x0045b094	void advManager::UpdateScreen(i32, i32 forceUpdate)
SOURCE/ADVMGR	0x5718	0x4a2	exact	0x0045b2ae	void advManager::CompleteDraw(i32 originX, i32 originY, i32 forceDraw, i32 updateBottomView)
SOURCE/ADVMGR	0x5bba	0x2f	exact	0x0045b799	void advManager::CompleteDraw(i32 update)
SOURCE/ADVMGR	0x5be9	0x3e0	exact	0x0045b7d3	i32 advManager::GetCloudLookup(i32 x, i32 y)
SOURCE/ADVMGR	0x5fc9	0x245e	exact	0x0045bb7c	void advManager::DrawCell(
SOURCE/ADVMGR	0x8427	0x85	exact	0x0045e047	class mapCell* advManager::GetCell(i32 x, i32 y)
SOURCE/ADVMGR	0x84ac	0xc43	exact	0x0045e0da	void advManager::UpdateRadar(i32 updateScreen, i32 partial)
SOURCE/ADVMGR	0x9363	0x1047	exact	0x0045f127	void advManager::QuickInfo(i32 cellX, i32 cellY)
SOURCE/ADVMGR	0xa491	0x2fe	exact	0x00460465	void advManager::UpdateHeroLocator(i32 locatorSlot, i32 drawWindow, i32 updateScreen)
SOURCE/ADVMGR	0xa78f	0xcd	exact	0x004607ad	void advManager::UpdateHeroLocators(i32 drawWindow, i32 updateScreen)
SOURCE/ADVMGR	0xa85c	0x292	exact	0x004608af	void advManager::UpdateTownLocators(i32 drawWindow, i32 updateScreen)
SOURCE/ADVMGR	0xaaee	0x15e	exact	0x00460b97	void advManager::UpdBottomView(i32 forceUpdate, i32 drawWindow, i32 updateScreen)
SOURCE/ADVMGR	0xac4c	0x126	exact	0x00460d63	void advManager::ClearBottomView(void)
SOURCE/ADVMGR	0xad72	0x53b	exact	0x00460e95	i32 advManager::UpdBottomViewEnemyTurn(void)
SOURCE/ADVMGR	0xb2ad	0x387	exact	0x004613b0	i32 advManager::UpdBottomViewNewTurn(void)
SOURCE/ADVMGR	0xb634	0x384	exact	0x00461716	i32 advManager::UpdBottomViewResMsg(void)
SOURCE/ADVMGR	0xb9b8	0x37b	exact	0x00461a75	i32 advManager::UpdBottomViewKingdom(void)
SOURCE/ADVMGR	0xbd33	0x5ef	exact	0x00461dd8	i32 advManager::UpdBottomViewHero(void)
SOURCE/ADVMGR	0xc322	0xdfb	exact	0x0046235b	void advManager::HeroQuickView(i32 heroId, i32 locatorSlot, i32 windowX, i32 windowY)
SOURCE/ADVMGR	0xd11d	0xdc	exact	0x0046308d	char* advManager::GetArmySizeName(
SOURCE/ADVMGR	0xd1f9	0xcd1	exact	0x004631ad	void advManager::TownQuickView(i32 townId, i32 locatorSlot, i32 windowX, i32 windowY)
SOURCE/ADVMGR	0xdeca	0x100	exact	0x00463dd6	void advManager::RedrawAdvScreen(i32 update, i32 freeBorder)
SOURCE/ADVMGR	0xdfca	0x14	exact	0x00463ef5	void advManager::DeactivateCurrTown(void)
SOURCE/ADVMGR	0xdfde	0x1c	exact	0x00463f14	void advManager::DeactivateCurrHero(void)
SOURCE/ADVMGR	0xdffa	0x42	exact	0x00463f3b	void advManager::MobilizeCurrHero(i32 update)
SOURCE/ADVMGR	0xe03c	0x14a	exact	0x00463f95	void advManager::DemobilizeCurrHero(void)
SOURCE/ADVMGR	0xe186	0x1ee	exact	0x00464101	void advManager::SetTownContext(i32 townId)
SOURCE/ADVMGR	0xe374	0x34a	exact	0x00464318	void advManager::SetHeroContext(i32 heroId, i32 update)
SOURCE/ADVMGR	0xe6be	0x1e7	exact	0x004646aa	void advManager::DoHeroKnob(void)
SOURCE/ADVMGR	0xe8a5	0x1e7	exact	0x004648d9	void advManager::DoTownKnob(void)
SOURCE/ADVMGR	0xea8c	0x2df	exact	0x00464b08	void advManager::CastSpell(SpellType spell)
SOURCE/ADVMGR	0xedaf	0x24b	exact	0x00464e9f	i32 SaveGame(void)
SOURCE/ADVMGR	0xeffa	0x8b	exact	0x004650eb	void advManager::CheckCastSpell(void)
SOURCE/ADVMGR	0xf085	0x285	exact	0x00465191	MessageDispatchResult DimensionDoorHandler(tag_message& message)
SOURCE/ADVMGR	0xf30a	0x12b4	exact	0x004654ad	i32 advManager::ComboDraw(i32 originX, i32 originY, i32 animate)
SOURCE/ADVMGR	0x105be	0x2d	exact	0x00466656	i32 advManager::ComboDraw(i32 update)
SOURCE/ADVMGR	0x105eb	0x2b6	exact	0x0046668e	void advManager::SetEnvironmentOrigin(i32 originX, i32 originY, i32 stopSounds)
SOURCE/ADVMGR	0x108a1	0x5a	exact	0x004669c6	void advManager::CheckLoadSample(i32 index)
SOURCE/ADVMGR	0x108fb	0x33f	exact	0x00466a2f	AdventureEnvironmentSoundId advManager::GetSoundId(i32 x, i32 y)
SOURCE/ADVMGR	0x10d39	0x217	exact	0x00466ef0	void advManager::InsertSound(i32 x, i32 mapY, i32 distance, i32 soundLayer)
SOURCE/ADVMGR	0x10f50	0x3c3	exact	0x0046712a	void advManager::TeleportTo(
SOURCE/ADVMGR	0x11313	0x202	exact	0x00467539	void advManager::DimensionDoor(void)
SOURCE/ADVMGR	0x11515	0xe0	exact	0x00467734	MessageDispatchResult TownPortalHandler(tag_message& message)
SOURCE/ADVMGR	0x115f5	0x408	exact	0x0046785d	void advManager::TownGate(SpellType spellId)
SOURCE/ADVMGR	0x119fd	0x54c	exact	0x00467c9b	void advManager::SummonBoat(void)
SOURCE/ADVMGR	0x11f49	0x44e	exact	0x00468247	void advManager::ShowRoute(i32 redraw, i32, i32 updateButton)
SOURCE/ADVMGR	0x12397	0xd4	exact	0x00468720	void advManager::HideRoute(i32 redraw, i32 clearDestination, i32 updateButton)
SOURCE/ADVMGR	0x1246b	0x6b	exact	0x00468827	void advManager::CheckDimHero(void)
SOURCE/ADVMGR	0x124d6	0x5d	exact	0x004688b4	void advManager::CheckDimNextHeroBut(void)
SOURCE/ADVMGR	0x12533	0x115	exact	0x0046891f	void advManager::SeedTo(i32 targetX, i32 targetY)
SOURCE/ADVMGR	0x12648	0x4f	exact	0x00468a57	void advManager::ForceNewHover(void)
SOURCE/ADVMGR	0x12697	0x188	exact	0x00468ab6	void advManager::ScreenScroll(H2_ENUM_PARAM(MapDirection, i32) direction, i32 updatePointer)
SOURCE/ADVMGR	0x1283f	0x16e	exact	0x00468c5c	void advManager::CheckScreenScroll(void)
SOURCE/ADVMGR	0x129ad	0x65	exact	0x00468e17	i32 advManager::MouseInScrollZone(void)
SOURCE/ADVMGR	0x12a12	0x268	exact	0x00468ea8	void advManager::SetInitialMapOrigin(void)
SOURCE/ADVMGR	0x12c7a	0x212	exact	0x00469160	void advManager::LoadRemote(void)
SOURCE/ADVMGR	0x12e8c	0x1b0	exact	0x0046931e	char* advManager::CheckHandleNet(void)
SOURCE/ADVMGR	0x13081	0x9b	exact	0x0046952a	MessageDispatchResult
SOURCE/ADVMGR	0x1311c	0x1b8	exact	0x004695f7	void advManager::TrimLoopingSounds(i32 maxSamples)
SOURCE/ADVMGR	0x132d4	0xc8	exact	0x004697cc	void advManager::DisableButtons(void)
SOURCE/ADVMGR	0x1339c	0xc8	exact	0x004698a1	void advManager::EnableButtons(void)
SOURCE/ADVMGR	0x13464	0x142	exact	0x00469976	void advManager::SaveAdventureBorder(void)
SOURCE/ADVMGR	0x135a6	0x134	exact	0x00469abb	void advManager::DrawAdventureBorder(void)
SOURCE/ADVMGR	0x136da	0x37a	exact	0x00469bef	i32 advManager::FindAdjacentMonster(
